		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	00:15	4.688	
	00:45	4.688	
	01:00		13.10
	01:15	4.688	
	01:45	4.688	
	02:00		12.50
	02:15	4.688	
	02:45	4.688	
	03:00		13.20
	03:15	4.688	
	03:45	4.688	
	04:00		13.10
	04:15	4.688	
	04:45	4.688	
	05:00		12.30
	05:15	4.688	
	05:45	4.688	
	06:00		12.30
	06:15	4.688	
	06:45	4.688	
	07:00		13.10
	07:15	4.688	
	07:45	4.688	
	08:00		14.10
	08:15	4.688	
	08:45	4.688	
	09:00		14.50
	09:15	4.688	
	09:45	4.688	
	10:00		15.30
	10:15	4.688	
	10:45	4.688	
	11:00		15.70
	11:15	4.688	
	11:45	4.688	
	12:00		16.60
	12:15	4.688	
	12:45	4.688	
	13:00		17.40
	13:15	4.688	
	13:45	4.688	
	14:00		17.40
	14:15	4.688	
	14:45	4.688	
	15:00		17.80
	15:15	4.688	
	15:45	4.688	
	16:00		17.80
	16:15	4.688	
	16:45	4.688	
	17:00		17.40
	17:15	4.688	
	17:45	4.688	
	18:00		16.80
	18:15	4.688	
	18:45	4.688	
	19:00		15.80
	19:15	4.688	
	19:45	4.688	
	20:00		14.80
	20:15	4.688	
	20:45	4.688	
	21:00		13.10
	21:15	4.688	
	21:45	4.688	
	22:00		13.00
	22:15	4.688	
	22:45	4.688	
	23:00		11.40
	23:15	4.688	
	23:45	4.688	
Wed, 02/Aug	24:00		10.50
	00:15	4.688	
	00:45	4.688	
	01:00		10.30
	01:15	4.688	
	01:45	4.688	
	02:00		9.60
	02:15	4.688	
	02:45	4.688	
	03:00		9.80
	03:15	4.688	
	03:45	4.688	
	04:00		8.70
	04:15	4.688	
	04:45	4.688	
	05:00		9.30
	05:15	4.688	
	05:45	4.688	
	06:00		9.60
	06:15	4.688	
	06:45	4.688	
	07:00		10.10
	07:15	4.688	
	07:45	4.688	
	08:00		12.40
	08:15	4.688	
	08:45	4.688	
	09:00		13.50
	09:15	4.688	
	09:45	4.688	
	10:00		14.80
	10:15	4.688	
	10:45	4.688	
	11:00		16.70
	11:15	4.688	
	11:45	4.688	
	12:00		15.90
	12:15	4.688	
	12:45	4.688	
	13:00		17.00
	13:15	4.688	
	13:45	4.688	
	14:00		15.40
	14:15	4.688	
	14:45	4.688	
	15:00		16.00
	15:15	4.688	
	15:45	4.688	
	16:00		17.40
	16:15	4.688	
	16:45	4.688	
	17:00		15.00
	17:15	4.688	
	17:45	4.688	
	18:00		16.00
	18:15	4.688	
	18:45	4.688	
	19:00		16.20
	19:15	4.688	
	19:45	4.688	
	20:00		15.10
	20:15	4.688	
	20:45	4.688	
	21:00		13.90
	21:15	4.688	
	21:45	4.688	
	22:00		12.40
	22:15	4.688	
	22:45	4.688	
	23:00		12.10
	23:15	4.688	
	23:45	4.688	
Thu, 03/Aug	24:00		11.70
	00:15	4.688	
	00:45	4.688	
	01:00		11.70
	01:15	4.688	
	01:45	4.688	
	02:00		11.20
	02:15	4.688	
	02:45	4.688	
	03:00		10.10
	03:15	4.688	
	03:45	4.688	
	04:00		10.40
	04:15	4.688	
	04:45	4.688	
	05:00		10.70
	05:15	4.688	
	05:45	4.688	
	06:00		10.50
	06:15	4.688	
	06:45	4.688	
	07:00		10.90
	07:15	4.688	
	07:45	4.688	
	08:00		12.30
	08:15	4.688	
	08:45	4.688	
	09:00		12.90
	09:15	4.688	
	09:45	4.688	
	10:00		13.30
	10:15	4.688	
	10:45	4.688	
	11:00		12.30
	11:15	4.688	
	11:45	4.688	
	12:00		12.00
	12:15	4.688	
	12:45	4.688	
	13:00		13.30
	13:15	4.688	
	13:45	4.688	
	14:00		13.60
	14:15	4.688	
	14:45	4.688	
	15:00		13.80
	15:15	4.688	
	15:45	4.688	
	16:00		13.30
	16:15	4.688	
	16:45	4.688	
	17:00		13.90
	17:15	4.688	
	17:45	4.688	
	18:00		13.90
	18:15	4.688	
	18:45	4.688	
	19:00		12.70
	19:15	4.688	
	19:45	4.688	
	20:00		12.80
	20:15	4.688	
	20:45	4.688	
	21:00		11.60
	21:15	4.688	
	21:45	4.688	
	22:00		10.90
	22:15	4.688	
	22:45	4.688	
	23:00		10.50
	23:15	4.688	
	23:45	4.688	
Fri, 04/Aug	24:00		10.90
	00:15	4.688	
	00:45	4.688	
	01:00		9.90
	01:15	4.688	
	01:45	4.688	
	02:00		9.80
	02:15	4.688	
	02:45	4.688	
	03:00		9.60
	03:15	4.688	
	03:45	4.688	
	04:00		9.20
	04:15	4.688	
	04:45	4.688	
	05:00		8.20
	05:15	4.688	
	05:45	4.688	
	06:00		8.00
	06:15	4.688	
	06:45	4.688	
	07:00		9.30
	07:15	4.688	
	07:45	4.688	
	08:00		9.80
	08:15	4.688	
	08:45	4.688	
	09:00		10.80
	09:15	4.688	
	09:45	4.688	
	10:00		11.50
	10:15	4.688	
	10:45	4.688	
	11:00		12.40
	11:15	4.688	
	11:45	4.688	
	12:00		12.60
	12:15	4.688	
	12:45	4.688	
	13:00		12.60
	13:15	4.688	
	13:45	4.688	
	14:00		13.40
	14:15	4.688	
	14:45	4.688	
	15:00		13.90
	15:15	4.688	
	15:45	4.688	
	16:00		14.20
	16:15	4.688	
	16:45	4.688	
	17:00		12.80
	17:15	4.688	
	17:45	4.688	
	18:00		12.40
	18:15	4.688	
	18:45	4.688	
	19:00		12.50
	19:15	4.688	
	19:45	4.688	
	20:00		11.90
	20:15	4.688	
	20:45	4.688	
	21:00		11.50
	21:15	4.688	
	21:45	4.688	
	22:00		11.10
	22:15	4.688	
	22:45	4.688	
	23:00		10.40
	23:15	4.688	
	23:45	4.688	
Sat, 05/Aug	24:00		9.70
	00:15	4.688	
	00:45	4.688	
	01:00		9.30
	01:15	4.688	
	01:45	4.688	
	02:00		8.30
	02:15	4.688	
	02:45	4.688	
	03:00		8.20
	03:15	4.688	
	03:45	4.688	
	04:00		7.10
	04:15	4.688	
	04:45	4.688	
	05:00		7.10
	05:15	4.688	
	05:45	4.688	
	06:00		7.30
	06:15	4.688	
	06:45	4.688	
	07:00		7.70
	07:15	4.688	
	07:45	4.688	
	08:00		9.70
	08:15	4.688	
	08:45	4.688	
	09:00		10.70
	09:15	4.688	
	09:45	4.688	
	10:00		11.20
	10:15	4.688	
	10:45	4.688	
	11:00		11.80
	11:15	4.688	
	11:45	4.688	
	12:00		12.90
	12:15	4.688	
	12:45	4.688	
	13:00		13.50
	13:15	4.688	
	13:45	4.688	
	14:00		12.80
	14:15	4.688	
	14:45	4.688	
	15:00		13.10
	15:15	4.688	
	15:45	4.688	
	16:00		12.80
	16:15	4.688	
	16:45	4.688	
	17:00		13.30
	17:15	4.688	
	17:45	4.688	
	18:00		12.70
	18:15	4.688	
	18:45	4.688	
	19:00		12.50
	19:15	4.688	
	19:45	4.688	
	20:00		11.70
	20:15	4.688	
	20:45	4.688	
	21:00		10.80
	21:15	4.688	
	21:45	4.688	
	22:00		10.50
	22:15	4.688	
	22:45	4.688	
	23:00		10.00
	23:15	4.688	
	23:45	4.688	
Sun, 06/Aug	24:00		10.00
	00:15	4.688	
	00:45	4.688	
	01:00		10.00
	01:15	4.688	
	01:45	4.688	
	02:00		8.70
	02:15	4.688	
	02:45	4.688	
	03:00		9.00
	03:15	4.688	
	03:45	4.688	
	04:00		7.70
	04:15	4.688	
	04:45	4.688	
	05:00		8.70
	05:15	4.688	
	05:45	4.688	
	06:00		8.50
	06:15	4.688	
	06:45	4.688	
	07:00		9.40
	07:15	4.688	
	07:45	4.688	
	08:00		10.50
	08:15	4.688	
	08:45	4.688	
	09:00		10.90
	09:15	4.688	
	09:45	4.688	
	10:00		11.40
	10:15	4.688	
	10:45	4.688	
	11:00		11.50
	11:15	4.688	
	11:45	4.688	
	12:00		11.60
	12:15	4.688	
	12:45	4.688	
	13:00		12.00
	13:15	4.688	
	13:45	4.688	
	14:00		12.10
	14:15	4.688	
	14:45	4.688	
	15:00		11.70
	15:15	4.688	
	15:45	4.688	
	16:00		12.80
	16:15	4.688	
	16:45	4.688	
	17:00		11.60
	17:15	4.688	
	17:45	4.688	
	18:00		11.80
	18:15	4.688	
	18:45	4.688	
	19:00		12.10
	19:15	4.688	
	19:45	4.688	
	20:00		11.10
	20:15	4.688	
	20:45	4.688	
	21:00		9.50
	21:15	4.688	
	21:45	4.688	
	22:00		9.40
	22:15	4.688	
	22:45	4.688	
	23:00		7.50
	23:15	4.688	
	23:45	4.688	
Mon, 07/Aug	24:00		8.30
	00:15	4.688	
	00:45	4.688	
	01:00		9.90
	01:15	4.688	
	01:45	4.688	
	02:00		10.00
	02:15	4.688	
	02:45	4.688	
	03:00		9.30
	03:15	4.688	
	03:45	4.688	
	04:00		8.80
	04:15	4.688	
	04:45	4.688	
	05:00		9.20
	05:15	4.688	
	05:45	4.688	
	06:00		9.30
	06:15	4.688	
	06:45	4.688	
	07:00		8.70
	07:15	4.688	
	07:45	4.688	
	08:00		9.60
	08:15	4.688	
	08:45	4.688	
	09:00		10.40
	09:15	4.688	
	09:45	4.688	
	10:00		12.90
	10:15	4.688	
	10:45	4.688	
	11:00		14.40
	11:15	4.688	
	11:45	4.688	
	12:00		16.30
	12:15	4.688	
	12:45	4.688	
	13:00		14.80
	13:15	4.688	
	13:45	4.688	
	14:00		14.40
	14:15	4.688	
	14:45	4.688	
	15:00		14.40
	15:15	4.688	
	15:45	4.688	
	16:00		15.40
	16:15	4.688	
	16:45	4.688	
	17:00		15.20
	17:15	4.688	
	17:45	4.688	
	18:00		15.60
	18:15	4.688	
	18:45	4.688	
	19:00		16.00
	19:15	4.688	
	19:45	4.688	
	20:00		15.10
	20:15	4.688	
	20:45	4.688	
	21:00		13.60
	21:15	4.688	
	21:45	4.688	
	22:00		12.70
	22:15	4.688	
	22:45	4.688	
	23:00		13.10
	23:15	4.688	
	23:45	4.688	
Tue, 08/Aug	24:00		13.10
	00:15	4.688	
	00:45	4.688	
	01:00		12.50
	01:15	4.688	
	01:45	4.688	
	02:00		12.30
	02:15	4.688	
	02:45	4.688	
	03:00		12.00
	03:15	4.688	
	03:45	4.688	
	04:00		12.00
	04:15	4.688	
	04:45	4.688	
	05:00		11.70
	05:15	4.688	
	05:45	4.688	
	06:00		11.30
	06:15	4.688	
	06:45	4.688	
	07:00		11.80
	07:15	4.688	
	07:45	4.688	
	08:00		13.80
	08:15	4.688	
	08:45	4.688	
	09:00		14.10
	09:15	4.688	
	09:45	4.688	
	10:00		14.60
	10:15	4.688	
	10:45	4.688	
	11:00		14.60
	11:15	4.688	
	11:45	4.688	
	12:00		13.40
	12:15	4.688	
	12:45	4.688	
	13:00		13.80
	13:15	4.688	
	13:45	4.688	
	14:00		13.40
	14:15	4.688	
	14:45	4.688	
	15:00		14.60
	15:15	4.688	
	15:45	4.688	
	16:00		14.60
	16:15	4.688	
	16:45	4.688	
	17:00		13.90
	17:15	4.688	
	17:45	4.688	
	18:00		14.20
	18:15	4.688	
	18:45	4.688	
	19:00		13.40
	19:15	4.688	
	19:45	4.688	
	20:00		12.90
	20:15	4.688	
	20:45	4.688	
	21:00		12.50
	21:15	4.688	
	21:45	4.688	
	22:00		11.90
	22:15	4.688	
	22:45	4.688	
	23:00		11.60
	23:15	4.688	
	23:45	4.688	
Wed, 09/Aug	24:00		11.60
	00:15	4.688	
	00:45	4.688	
	01:00		11.00
	01:15	4.688	
	01:45	4.688	
	02:00		10.90
	02:15	4.688	
	02:45	4.688	
	03:00		10.90
	03:15	4.688	
	03:45	4.688	
	04:00		11.00
	04:15	4.688	
	04:45	4.688	
	05:00		10.50
	05:15	4.688	
	05:45	4.688	
	06:00		10.60
	06:15	4.688	
	06:45	4.688	
	07:00		10.60
	07:15	4.688	
	07:45	4.688	
	08:00		11.30
	08:15	4.688	
	08:45	4.688	
	09:00		11.70
	09:15	4.688	
	09:45	4.688	
	10:00		12.30
	10:15	4.688	
	10:45	4.688	
	11:00		12.70
	11:15	4.688	
	11:45	4.688	
	12:00		13.20
	12:15	4.688	
	12:45	4.688	
	13:00		13.20
	13:15	4.688	
	13:45	4.688	
	14:00		13.80
	14:15	4.688	
	14:45	4.688	
	15:00		13.80
	15:15	4.688	
	15:45	4.688	
	16:00		13.20
	16:15	4.688	
	16:45	4.688	
	17:00		13.20
	17:15	4.688	
	17:45	4.688	
	18:00		12.70
	18:15	4.688	
	18:45	4.688	
	19:00		12.30
	19:15	4.688	
	19:45	4.688	
	20:00		11.80
	20:15	4.688	
	20:45	4.688	
	21:00		10.60
	21:15	4.688	
	21:45	4.688	
	22:00		8.70
	22:15	4.688	
	22:45	4.688	
	23:00		8.10
	23:15	4.688	
	23:45	4.688	
Thu, 10/Aug	24:00		7.60
	00:15	4.688	
	00:45	4.688	
	01:00		7.50
	01:15	4.688	
	01:45	4.688	
	02:00		7.60
	02:15	4.688	
	02:45	4.688	
	03:00		6.70
	03:15	4.688	
	03:45	4.688	
	04:00		6.50
	04:15	4.688	
	04:45	4.688	
	05:00		6.50
	05:15	4.688	
	05:45	4.697	
	06:00		5.70
	06:15	4.756	
	06:45	4.688	
	07:00		7.20
	07:15	4.688	
	07:45	4.688	
	08:00		11.10
	08:15	4.688	
	08:45	4.688	
	09:00		13.80
	09:15	4.688	
	09:45	4.688	
	10:00		14.70
	10:15	4.688	
	10:45	4.688	
	11:00		15.20
	11:15	4.688	
	11:45	4.688	
	12:00		15.20
	12:15	4.688	
	12:45	4.688	
	13:00		13.10
	13:15	4.688	
	13:45	4.688	
	14:00		14.70
	14:15	4.688	
	14:45	4.688	
	15:00		15.20
	15:15	4.688	
	15:45	4.688	
	16:00		15.10
	16:15	4.688	
	16:45	4.688	
	17:00		15.20
	17:15	4.688	
	17:45	4.688	
	18:00		14.70
	18:15	4.688	
	18:45	4.688	
	19:00		13.60
	19:15	4.688	
	19:45	4.688	
	20:00		12.70
	20:15	4.688	
	20:45	4.688	
	21:00		11.90
	21:15	4.688	
	21:45	4.688	
	22:00		10.20
	22:15	4.688	
	22:45	4.688	
	23:00		10.10
	23:15	4.688	
	23:45	4.688	
Fri, 11/Aug	24:00		9.40
	00:15	4.688	
	00:45	4.688	
	01:00		8.70
	01:15	4.688	
	01:45	4.688	
	02:00		8.60
	02:15	4.688	
	02:45	4.688	
	03:00		8.70
	03:15	4.688	
	03:45	4.688	
	04:00		7.70
	04:15	4.688	
	04:45	4.688	
	05:00		7.30
	05:15	4.688	
	05:45	4.688	
	06:00		7.70
	06:15	4.688	
	06:45	4.688	
	07:00		8.70
	07:15	4.688	
	07:45	4.688	
	08:00		10.70
	08:15	4.688	
	08:45	4.688	
	09:00		12.40
	09:15	4.688	
	09:45	4.688	
	10:00		13.00
	10:15	4.688	
	10:45	4.688	
	11:00		13.60
	11:15	4.688	
	11:45	4.688	
	12:00		14.50
	12:15	4.688	
	12:45	4.688	
	13:00		16.00
	13:15	4.688	
	13:45	4.688	
	14:00		16.20
	14:15	4.688	
	14:45	4.688	
	15:00		15.60
	15:15	4.688	
	15:45	4.688	
	16:00		15.30
	16:15	4.688	
	16:45	4.688	
	17:00		15.30
	17:15	4.688	
	17:45	4.688	
	18:00		14.60
	18:15	4.688	
	18:45	4.688	
	19:00		14.60
	19:15	4.688	
	19:45	4.688	
	20:00		14.20
	20:15	4.688	
	20:45	4.688	
	21:00		14.00
	21:15	4.688	
	21:45	4.688	
	22:00		13.80
	22:15	4.688	
	22:45	4.688	
	23:00		13.30
	23:15	4.688	
	23:45	4.688	
Sat, 12/Aug	24:00		13.60
	00:15	4.688	
	00:45	4.688	
	01:00		13.20
	01:15	4.688	
	01:45	4.688	
	02:00		13.10
	02:15	4.688	
	02:45	4.688	
	03:00		13.10
	03:15	4.688	
	03:45	4.688	
	04:00		12.90
	04:15	4.688	
	04:45	4.688	
	05:00		12.90
	05:15	4.688	
	05:45	4.688	
	06:00		12.80
	06:15	4.688	
	06:45	4.688	
	07:00		12.80
	07:15	4.688	
	07:45	4.688	
	08:00		12.90
	08:15	4.688	
	08:45	4.688	
	09:00		13.20
	09:15	4.688	
	09:45	4.688	
	10:00		13.60
	10:15	4.688	
	10:45	4.688	
	11:00		14.20
	11:15	4.688	
	11:45	4.688	
	12:00		14.50
	12:15	4.688	
	12:45	4.688	
	13:00		14.10
	13:15	4.688	
	13:45	4.688	
	14:00		14.10
	14:15	4.688	
	14:45	4.688	
	15:00		14.30
	15:15	4.688	
	15:45	4.688	
	16:00		14.30
	16:15	4.688	
	16:45	4.688	
	17:00		13.60
	17:15	4.688	
	17:45	4.688	
	18:00		14.30
	18:15	4.688	
	18:45	4.688	
	19:00		13.60
	19:15	4.688	
	19:45	4.688	
	20:00		13.90
	20:15	4.688	
	20:45	4.688	
	21:00		13.60
	21:15	4.688	
	21:45	4.688	
	22:00		13.20
	22:15	4.688	
	22:45	4.688	
	23:00		13.10
	23:15	4.688	
	23:45	4.688	
Sun, 13/Aug	24:00		13.30
	00:15	4.688	
	00:45	4.688	
	01:00		13.40
	01:15	4.688	
	01:45	4.688	
	02:00		13.70
	02:15	4.688	
	02:45	4.688	
	03:00		13.60
	03:15	4.688	
	03:45	4.688	
	04:00		13.70
	04:15	4.688	
	04:45	4.688	
	05:00		13.90
	05:15	4.688	
	05:45	4.688	
	06:00		13.80
	06:15	4.688	
	06:45	4.688	
	07:00		15.00
	07:15	4.688	
	07:45	4.688	
	08:00		16.00
	08:15	4.688	
	08:45	4.688	
	09:00		16.80
	09:15	4.688	
	09:45	4.688	
	10:00		18.10
	10:15	4.688	
	10:45	4.688	
	11:00		18.00
	11:15	4.688	
	11:45	4.688	
	12:00		19.20
	12:15	4.688	
	12:45	4.688	
	13:00		19.00
	13:15	4.688	
	13:45	4.688	
	14:00		20.70
	14:15	4.688	
	14:45	4.688	
	15:00		19.70
	15:15	4.688	
	15:45	4.688	
	16:00		20.80
	16:15	4.688	
	16:45	4.688	
	17:00		20.90
	17:15	4.688	
	17:45	4.688	
	18:00		18.50
	18:15	4.688	
	18:45	4.688	
	19:00		18.50
	19:15	4.688	
	19:45	4.688	
	20:00		16.90
	20:15	4.688	
	20:45	4.688	
	21:00		16.00
	21:15	4.688	
	21:45	4.688	
	22:00		15.50
	22:15	4.688	
	22:45	4.688	
	23:00		14.30
	23:15	4.688	
	23:45	4.688	
Mon, 14/Aug	24:00		12.50
	00:15	4.688	
	00:45	4.688	
	01:00		12.40
	01:15	4.688	
	01:45	4.688	
	02:00		11.30
	02:15	4.688	
	02:45	4.688	
	03:00		11.50
	03:15	4.688	
	03:45	4.688	
	04:00		10.90
	04:15	4.688	
	04:45	4.688	
	05:00		10.80
	05:15	4.688	
	05:45	4.688	
	06:00		11.80
	06:15	4.688	
	06:45	4.688	
	07:00		12.70
	07:15	4.688	
	07:45	4.688	
	08:00		13.30
	08:15	4.688	
	08:45	4.688	
	09:00		14.00
	09:15	4.688	
	09:45	4.688	
	10:00		14.90
	10:15	4.688	
	10:45	4.688	
	11:00		16.70
	11:15	4.688	
	11:45	4.688	
	12:00		17.70
	12:15	4.688	
	12:45	4.688	
	13:00		18.80
	13:15	4.688	
	13:45	4.688	
	14:00		18.30
	14:15	4.688	
	14:45	4.688	
	15:00		18.00
	15:15	4.688	
	15:45	4.688	
	16:00		17.60
	16:15	4.688	
	16:45	4.688	
	17:00		17.60
	17:15	4.688	
	17:45	4.688	
	18:00		17.80
	18:15	4.688	
	18:45	4.688	
	19:00		16.60
	19:15	4.688	
	19:45	4.688	
	20:00		15.30
	20:15	4.688	
	20:45	4.688	
	21:00		15.30
	21:15	4.688	
	21:45	4.688	
	22:00		14.70
	22:15	4.688	
	22:45	4.688	
	23:00		13.90
	23:15	4.688	
	23:45	4.688	
Tue, 15/Aug	24:00		13.40
	00:15	4.688	
	00:45	4.688	
	01:00		13.40
	01:15	4.688	
	01:45	4.688	
	02:00		13.40
	02:15	4.688	
	02:45	4.688	
	03:00		13.40
	03:15	4.688	
	03:45	4.688	
	04:00		13.50
	04:15	4.688	
	04:45	4.688	
	05:00		13.10
	05:15	4.688	
	05:45	4.688	
	06:00		12.80
	06:15	4.688	
	06:45	4.688	
	07:00		14.10
	07:15	4.688	
	07:45	4.688	
	08:00		15.40
	08:15	4.688	
	08:45	4.688	
	09:00		15.70
	09:15	4.688	
	09:45	4.688	
	10:00		17.00
	10:15	4.688	
	10:45	4.688	
	11:00		18.90
	11:15	4.688	
	11:45	4.688	
	12:00		20.00
	12:15	4.688	
	12:45	4.688	
	13:00		19.10
	13:15	4.688	
	13:45	4.688	
	14:00		18.50
	14:15	4.688	
	14:45	4.688	
	15:00		17.80
	15:15	4.688	
	15:45	4.688	
	16:00		17.10
	16:15	4.688	
	16:45	4.688	
	17:00		16.90
	17:15	4.688	
	17:45	4.688	
	18:00		17.20
	18:15	4.688	
	18:45	4.688	
	19:00		16.40
	19:15	4.688	
	19:45	4.688	
	20:00		15.20
	20:15	4.688	
	20:45	4.688	
	21:00		15.20
	21:15	4.688	
	21:45	4.688	
	22:00		14.60
	22:15	4.688	
	22:45	4.688	
	23:00		14.30
	23:15	4.688	
	23:45	4.688	
Wed, 16/Aug	24:00		14.30
	00:15	4.688	
	00:45	4.688	
	01:00		14.60
	01:15	4.688	
	01:45	4.688	
	02:00		14.70
	02:15	4.688	
	02:45	4.688	
	03:00		14.20
	03:15	4.688	
	03:45	4.688	
	04:00		13.70
	04:15	4.688	
	04:45	4.688	
	05:00		14.20
	05:15	4.688	
	05:45	4.688	
	06:00		15.20
	06:15	4.688	
	06:45	4.688	
	07:00		15.70
	07:15	4.688	
	07:45	4.688	
	08:00		16.80
	08:15	4.688	
	08:45	4.688	
	09:00		17.40
	09:15	4.688	
	09:45	4.688	
	10:00		18.30
	10:15	4.688	
	10:45	4.688	
	11:00		16.80
	11:15	4.688	
	11:45	4.688	
	12:00		18.10
	12:15	4.688	
	12:45	4.688	
	13:00		19.50
	13:15	4.688	
	13:45	4.688	
	14:00		19.60
	14:15	4.688	
	14:45	4.688	
	15:00		19.50
	15:15	4.688	
	15:45	4.688	
	16:00		18.30
	16:15	4.688	
	16:45	4.688	
	17:00		19.50
	17:15	4.688	
	17:45	4.688	
	18:00		19.50
	18:15	4.688	
	18:45	4.688	
	19:00		19.30
	19:15	4.688	
	19:45	4.688	
	20:00		18.80
	20:15	4.688	
	20:45	4.688	
	21:00		18.50
	21:15	4.688	
	21:45	4.688	
	22:00		16.90
	22:15	4.688	
	22:45	4.688	
	23:00		16.70
	23:15	4.688	
	23:45	4.688	
Thu, 17/Aug	24:00		16.70
	00:15	4.688	
	00:45	4.688	
	01:00		16.60
	01:15	4.688	
	01:45	4.688	
	02:00		17.30
	02:15	4.688	
	02:45	4.688	
	03:00		17.20
	03:15	4.688	
	03:45	4.688	
	04:00		16.90
	04:15	4.688	
	04:45	4.688	
	05:00		17.20
	05:15	4.688	
	05:45	4.688	
	06:00		17.00
	06:15	4.688	
	06:45	4.688	
	07:00		17.00
	07:15	4.688	
	07:45	4.688	
	08:00		17.00
	08:15	4.688	
	08:45	4.688	
	09:00		16.80
	09:15	4.688	
	09:45	4.688	
	10:00		17.30
	10:15	4.688	
	10:45	4.688	
	11:00		17.10
	11:15	4.688	
	11:45	4.688	
	12:00		18.10
	12:15	4.688	
	12:45	4.688	
	13:00		18.10
	13:15	4.688	
	13:45	4.688	
	14:00		18.20
	14:15	4.688	
	14:45	4.688	
	15:00		17.40
	15:15	4.688	
	15:45	4.688	
	16:00		17.80
	16:15	4.688	
	16:45	4.688	
	17:00		16.40
	17:15	4.688	
	17:45	4.688	
	18:00		16.40
	18:15	4.688	
	18:45	4.688	
	19:00		17.30
	19:15	4.688	
	19:45	4.688	
	20:00		18.10
	20:15	4.688	
	20:45	4.688	
	21:00		18.30
	21:15	4.688	
	21:45	4.688	
	22:00		18.50
	22:15	4.688	
	22:45	4.688	
	23:00		17.30
	23:15	4.688	
	23:45	4.688	
Fri, 18/Aug	24:00		16.90
	00:15	4.688	
	00:45	4.688	
	01:00		16.10
	01:15	4.688	
	01:45	4.688	
	02:00		15.80
	02:15	4.688	
	02:45	4.688	
	03:00		16.70
	03:15	4.688	
	03:45	4.688	
	04:00		17.00
	04:15	4.688	
	04:45	4.688	
	05:00		16.30
	05:15	4.688	
	05:45	4.688	
	06:00		16.20
	06:15	4.688	
	06:45	4.688	
	07:00		16.50
	07:15	4.688	
	07:45	4.688	
	08:00		16.30
	08:15	4.688	
	08:45	4.688	
	09:00		16.40
	09:15	4.688	
	09:45	4.688	
	10:00		14.80
	10:15	4.688	
	10:45	4.688	
	11:00		15.90
	11:15	4.688	
	11:45	4.688	
	12:00		16.00
	12:15	4.688	
	12:45	4.688	
	13:00		16.00
	13:15	4.688	
	13:45	4.688	
	14:00		15.80
	14:15	4.688	
	14:45	4.688	
	15:00		15.80
	15:15	4.688	
	15:45	4.688	
	16:00		15.50
	16:15	4.688	
	16:45	4.688	
	17:00		15.80
	17:15	4.688	
	17:45	4.688	
	18:00		15.10
	18:15	4.688	
	18:45	4.688	
	19:00		14.50
	19:15	4.688	
	19:45	4.688	
	20:00		14.10
	20:15	4.688	
	20:45	4.688	
	21:00		13.00
	21:15	4.688	
	21:45	4.688	
	22:00		12.20
	22:15	4.688	
	22:45	4.688	
	23:00		11.20
	23:15	4.688	
	23:45	4.688	
Sat, 19/Aug	24:00		11.00
	00:15	4.688	
	00:45	4.688	
	01:00		10.90
	01:15	4.688	
	01:45	4.688	
	02:00		11.70
	02:15	4.688	
	02:45	4.688	
	03:00		11.70
	03:15	4.688	
	03:45	4.688	
	04:00		11.40
	04:15	4.688	
	04:45	4.688	
	05:00		11.40
	05:15	4.688	
	05:45	4.688	
	06:00		11.00
	06:15	4.688	
	06:45	4.688	
	07:00		12.40
	07:15	4.688	
	07:45	4.688	
	08:00		13.10
	08:15	4.688	
	08:45	4.688	
	09:00		15.30
	09:15	4.688	
	09:45	4.688	
	10:00		16.60
	10:15	4.688	
	10:45	4.688	
	11:00		16.60
	11:15	4.688	
	11:45	4.688	
	12:00		17.00
	12:15	4.688	
	12:45	4.688	
	13:00		17.00
	13:15	4.688	
	13:45	4.688	
	14:00		16.60
	14:15	4.688	
	14:45	4.688	
	15:00		15.50
	15:15	4.688	
	15:45	4.688	
	16:00		16.70
	16:15	4.688	
	16:45	4.688	
	17:00		16.30
	17:15	4.688	
	17:45	4.688	
	18:00		15.70
	18:15	4.688	
	18:45	4.688	
	19:00		15.70
	19:15	4.688	
	19:45	4.688	
	20:00		15.90
	20:15	4.688	
	20:45	4.688	
	21:00		14.70
	21:15	4.688	
	21:45	4.688	
	22:00		16.10
	22:15	4.688	
	22:45	4.688	
	23:00		16.20
	23:15	4.688	
	23:45	4.688	
Sun, 20/Aug	24:00		15.30
	00:15	4.688	
	00:45	4.688	
	01:00		15.10
	01:15	4.688	
	01:45	4.688	
	02:00		14.60
	02:15	4.688	
	02:45	4.688	
	03:00		14.30
	03:15	4.688	
	03:45	4.688	
	04:00		15.00
	04:15	4.688	
	04:45	4.688	
	05:00		15.00
	05:15	4.688	
	05:45	4.688	
	06:00		14.60
	06:15	4.688	
	06:45	4.688	
	07:00		14.70
	07:15	4.688	
	07:45	4.688	
	08:00		16.40
	08:15	4.688	
	08:45	4.688	
	09:00		15.70
	09:15	4.688	
	09:45	4.688	
	10:00		16.20
	10:15	4.688	
	10:45	4.688	
	11:00		16.20
	11:15	4.688	
	11:45	4.688	
	12:00		16.10
	12:15	4.688	
	12:45	4.688	
	13:00		17.20
	13:15	4.688	
	13:45	4.688	
	14:00		16.20
	14:15	4.688	
	14:45	4.688	
	15:00		17.20
	15:15	4.688	
	15:45	4.688	
	16:00		19.20
	16:15	4.688	
	16:45	4.688	
	17:00		22.80
