		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	17:45	7.957	
	18:00		3.60
	18:15	7.417	
	18:45	7.477	
	19:00		3.00
	19:15	7.503	
	19:45	7.496	
	20:00		3.10
	20:15	7.497	
	20:45	7.520	
	21:00		3.10
	21:15	7.576	
	21:45	7.663	
	22:00		2.50
	22:15	8.586	
	22:45	8.583	
	23:00		2.00
	23:15	8.603	
	23:45	8.348	
Sat, 07/Jan	24:00		4.00
	00:15	8.321	
	00:45	8.306	
	01:00		3.90
	01:15	8.309	
	01:45	8.323	
	02:00		3.70
	02:15	8.351	
	02:45	8.391	
	03:00		3.30
	03:15	8.426	
	03:45	8.458	
	04:00		3.00
	04:15	8.511	
	04:45	8.588	
	05:00		2.30
	05:15	8.641	
	05:45	8.671	
	06:00		2.10
	06:15	8.693	
	06:45	8.706	
	07:00		2.00
	07:15	8.701	
	07:45	8.681	
	08:00		2.20
	08:15	8.705	
	08:45	8.729	
	09:00		1.40
	09:15	8.098	
	09:45	8.044	
	10:00		1.70
	10:15	7.956	
	10:45	7.825	
	11:00		2.90
	11:15	7.729	
	11:45	7.555	
	12:00		2.80
	12:15	7.248	
	12:45	6.901	
	13:00		3.20
	13:15	6.586	
	13:45	6.391	
	14:00		3.70
	14:15	6.433	
	14:45	6.690	
	15:00		2.80
	15:15	7.085	
	15:45	7.629	
	16:00		1.60
	16:15	7.997	
	16:45	8.209	
	17:00		1.10
	17:15	8.330	
	17:45	8.394	
	18:00		1.20
	18:15	7.893	
	18:45	7.931	
	19:00		1.10
	19:15	7.973	
	19:45	8.027	
	20:00		0.80
	20:15	8.092	
	20:45	8.183	
	21:00		0.40
	21:15	8.267	
	21:45	8.337	
	22:00		0.20
	22:15	9.281	
	22:45	9.342	
	23:00		-0.70
	23:15	9.486	
	23:45	9.419	
Sun, 08/Jan	24:00		-0.20
	00:15	9.499	
	00:45	9.502	
	01:00		-0.20
	01:15	9.520	
	01:45	9.551	
	02:00		-0.40
	02:15	9.591	
	02:45	9.640	
	03:00		-0.70
	03:15	9.690	
	03:45	9.742	
	04:00		-1.00
	04:15	9.777	
	04:45	9.796	
	05:00		-1.00
	05:15	9.824	
	05:45	9.862	
	06:00		-1.20
	06:15	9.890	
	06:45	9.908	
	07:00		-1.20
	07:15	9.974	
	07:45	10.088	
	08:00		-2.10
	08:15	10.139	
	08:45	10.081	
	09:00		-2.00
	09:15	9.324	
	09:45	9.093	
	10:00		-0.20
	10:15	8.920	
	10:45	8.763	
	11:00		0.60
	11:15	8.518	
	11:45	8.261	
	12:00		1.90
	12:15	8.057	
