DateTime,Total nat. gas (kBtu/h),Dry-bulb temperature (°C)
01-07 00:45,8.306,3.9
01-07 01:15,8.309,3.7
01-07 01:45,8.323,3.7
01-07 02:15,8.351,3.3
01-07 02:45,8.391,3.3
01-07 03:15,8.426,3.0
01-07 03:45,8.458,3.0
01-07 04:15,8.511,2.3
01-07 04:45,8.588,2.3
01-07 05:15,8.641,2.1
01-07 05:45,8.671,2.1
01-07 06:15,8.693,2.0
01-07 06:45,8.706,2.0
01-07 07:15,8.701,2.2
01-07 07:45,8.681,2.2
01-07 08:15,8.705,1.4
01-07 08:45,8.729,1.4
01-07 09:15,8.098,1.7
01-07 09:45,8.044,1.7
01-07 10:15,7.956,2.9
01-07 10:45,7.825,2.9
01-07 11:15,7.729,2.8
01-07 11:45,7.555,2.8
01-07 12:15,7.248,3.2
01-07 12:45,6.901,3.2
01-07 13:15,6.586,3.7
01-07 13:45,6.391,3.7
01-07 14:15,6.433,2.8
01-07 14:45,6.69,2.8
01-07 15:15,7.085,1.6
01-07 15:45,7.629,1.6
01-07 16:15,7.997,1.1
01-07 16:45,8.209,1.1
01-07 17:15,8.33,1.2
01-07 17:45,8.394,1.2
01-07 18:15,7.893,1.1
01-07 18:45,7.931,1.1
01-07 19:15,7.973,0.8
01-07 19:45,8.027,0.8
01-07 20:15,8.092,0.4
01-07 20:45,8.183,0.4
01-07 21:15,8.267,0.2
01-07 21:45,8.337,0.2
01-07 22:15,9.281,-0.7
01-07 22:45,9.342,-0.7
01-07 23:15,9.486,-0.2
01-07 23:45,9.419,-0.2
01-08 00:15,9.499,-0.2
01-08 00:45,9.502,-0.2
01-08 01:15,9.52,-0.4
01-08 01:45,9.551,-0.4
01-08 02:15,9.591,-0.7
01-08 02:45,9.64,-0.7
01-08 03:15,9.69,-1.0
01-08 03:45,9.742,-1.0
01-08 04:15,9.777,-1.0
01-08 04:45,9.796,-1.0
01-08 05:15,9.824,-1.2
01-08 05:45,9.862,-1.2
01-08 06:15,9.89,-1.2
01-08 06:45,9.908,-1.2
01-08 07:15,9.974,-2.1
01-08 07:45,10.088,-2.1
01-08 08:15,10.139,-2.0
01-08 08:45,10.081,-2.0
01-08 09:15,9.324,-0.2
01-08 09:45,9.093,-0.2
01-08 10:15,8.92,0.6
01-08 10:45,8.763,0.6
01-08 11:15,8.518,1.9
01-08 11:45,8.261,1.9
01-08 12:15,8.057,2.4
01-08 12:45,7.887,2.4
01-08 13:15,7.736,2.4
01-08 13:45,7.6,2.4
01-08 14:15,7.651,1.3
01-08 14:45,7.97,1.3
01-08 15:15,8.382,-0.6
01-08 15:45,8.841,-0.6
01-08 16:15,9.144,-0.9
01-08 16:45,9.298,-0.9
01-08 17:15,9.417,-1.2
01-08 17:45,9.519,-1.2
01-08 18:15,9.071,-1.9
01-08 18:45,9.177,-1.9
01-08 19:15,9.265,-2.3
01-08 19:45,9.339,-2.3
01-08 20:15,9.378,-2.0
01-08 20:45,9.399,-2.0
01-08 21:15,9.419,-1.7
01-08 21:45,9.432,-1.7
01-08 22:15,10.312,-2.0
01-08 22:45,10.3,-2.0
01-08 23:15,10.423,-1.9
01-08 23:45,10.388,-1.9
01-09 00:15,10.509,-2.4
01-09 00:45,10.564,-2.4
01-09 01:15,10.556,-1.6
01-09 01:45,10.482,-1.6
01-09 02:15,10.522,-3.0
01-09 02:45,10.675,-3.0
01-09 03:15,10.805,-3.9
01-09 03:45,10.913,-3.9
01-09 04:15,10.976,-3.9
01-09 04:45,11.035,-3.9
01-09 05:15,11.115,-4.3
01-09 05:45,11.212,-4.3
01-09 06:15,11.243,-3.9
01-09 06:45,11.217,-3.9
01-09 07:15,11.181,-3.4
01-09 07:45,11.134,-3.4
01-09 08:15,10.999,-3.4
01-09 08:45,10.951,-3.4
01-09 09:15,10.284,-3.0
01-09 09:45,10.231,-3.0
01-09 10:15,10.145,-1.6
01-09 10:45,9.999,-1.6
01-09 11:15,9.89,-1.3
01-09 11:45,9.809,-1.3
01-09 12:15,9.756,-1.5
01-09 12:45,9.766,-1.5
01-09 13:15,9.722,-0.4
01-09 13:45,9.615,-0.4
01-09 14:15,9.6,-0.4
01-09 14:45,9.697,-0.4
01-09 15:15,9.823,-0.8
01-09 15:45,9.953,-0.8
01-09 16:15,10.086,-1.6
01-09 16:45,10.22,-1.6
01-09 17:15,10.284,-1.3
01-09 17:45,10.286,-1.3
01-09 18:15,9.683,-0.3
01-09 18:45,9.574,-0.3
01-09 19:15,9.452,0.8
01-09 19:45,9.325,0.8
01-09 20:15,9.264,0.7
01-09 20:45,9.285,0.7
01-09 21:15,9.356,-0.2
01-09 21:45,9.467,-0.2
01-09 22:15,10.369,-0.2
01-09 22:45,10.301,-0.2
01-09 23:15,10.363,0.3
01-09 23:45,10.261,0.3
01-10 00:15,10.293,0.6
01-10 00:45,10.236,0.6
01-10 01:15,10.198,0.6
01-10 01:45,10.178,0.6
01-10 02:15,10.107,1.6
01-10 02:45,9.993,1.6
01-10 03:15,9.916,1.9
01-10 03:45,9.877,1.9
01-10 04:15,9.875,1.5
01-10 04:45,9.908,1.5
01-10 05:15,9.925,1.4
01-10 05:45,9.926,1.4
01-10 06:15,9.975,0.4
01-10 06:45,10.074,0.4
01-10 07:15,10.118,0.5
01-10 07:45,10.107,0.5
01-10 08:15,10.076,0.8
01-10 08:45,9.982,0.8
01-10 09:15,9.318,0.6
01-10 09:45,9.314,0.6
01-10 10:15,9.34,0.1
01-10 10:45,9.356,0.1
01-10 11:15,9.351,0.1
01-10 11:45,9.375,0.1
01-10 12:15,9.429,-0.1
01-10 12:45,9.484,-0.1
01-10 13:15,9.535,-0.5
01-10 13:45,9.566,-0.5
01-10 14:15,9.617,-1.1
01-10 14:45,9.726,-1.1
01-10 15:15,9.825,-0.9
01-10 15:45,9.904,-0.9
01-10 16:15,9.98,-1.1
01-10 16:45,10.052,-1.1
01-10 17:15,10.099,-1.0
01-10 17:45,10.125,-1.0
01-10 18:15,9.596,-1.1
01-10 18:45,9.61,-1.1
01-10 19:15,9.644,-1.6
01-10 19:45,9.701,-1.6
01-10 20:15,9.744,-1.7
01-10 20:45,9.788,-1.7
01-10 21:15,9.856,-2.2
01-10 21:45,9.942,-2.2
01-10 22:15,10.846,-2.3
01-10 22:45,10.809,-2.3
01-10 23:15,10.908,-2.0
01-10 23:45,10.843,-2.0
01-11 00:15,10.921,-2.1
01-11 00:45,10.927,-2.1
01-11 01:15,11.005,-2.6
01-11 01:45,11.103,-2.6
01-11 02:15,11.16,-2.6
01-11 02:45,11.176,-2.6
01-11 03:15,11.188,-2.6
01-11 03:45,11.198,-2.6
01-11 04:15,11.236,-3.0
01-11 04:45,11.298,-3.0
01-11 05:15,11.329,-3.0
01-11 05:45,11.339,-3.0
01-11 06:15,11.404,-3.7
01-11 06:45,11.52,-3.7
01-11 07:15,11.66,-4.7
01-11 07:45,11.828,-4.7
01-11 08:15,11.507,-3.3
01-11 08:45,11.316,-3.3
01-11 09:15,10.574,-2.9
01-11 09:45,10.515,-2.9
01-11 10:15,10.503,-3.2
01-11 10:45,10.477,-3.2
01-11 11:15,10.402,-3.1
01-11 11:45,10.451,-3.1
01-11 12:15,10.631,-3.7
01-11 12:45,10.809,-3.7
01-11 13:15,10.768,-3.5
01-11 13:45,10.382,-3.5
01-11 14:15,10.24,-4.9
01-11 14:45,10.558,-4.9
01-11 15:15,10.873,-3.8
01-11 15:45,11.074,-3.8
01-11 16:15,11.251,-4.3
01-11 16:45,11.445,-4.3
01-11 17:15,11.576,-4.4
01-11 17:45,11.662,-4.4
01-11 18:15,11.043,-3.9
01-11 18:45,10.996,-3.9
01-11 19:15,10.955,-3.6
01-11 19:45,10.929,-3.6
01-11 20:15,10.869,-2.8
01-11 20:45,10.788,-2.8
01-11 21:15,10.801,-3.3
01-11 21:45,10.905,-3.3
01-11 22:15,11.594,-3.7
01-11 22:45,11.582,-3.7
01-11 23:15,11.951,-3.1
01-11 23:45,11.895,-3.1
01-12 00:15,11.967,-3.3
01-12 00:45,11.989,-3.3
01-12 01:15,12.027,-3.7
01-12 01:45,12.083,-3.7
01-12 02:15,12.149,-4.2
01-12 02:45,12.226,-4.2
01-12 03:15,12.203,-3.3
01-12 03:45,12.079,-3.3
01-12 04:15,12.095,-4.4
01-12 04:45,12.251,-4.4
01-12 05:15,12.345,-4.6
01-12 05:45,12.384,-4.6
01-12 06:15,12.402,-4.5
01-12 06:45,12.395,-4.5
01-12 07:15,12.378,-4.3
01-12 07:45,12.352,-4.3
01-12 08:15,11.952,-5.2
01-12 08:45,11.991,-5.2
01-12 09:15,11.531,-4.9
01-12 09:45,11.501,-4.9
01-12 10:15,11.456,-4.7
01-12 10:45,11.42,-4.7
01-12 11:15,11.442,-5.1
01-12 11:45,11.515,-5.1
01-12 12:15,11.563,-5.1
01-12 12:45,11.577,-5.1
01-12 13:15,11.57,-4.7
01-12 13:45,11.573,-4.7
01-12 14:15,11.696,-5.3
01-12 14:45,11.946,-5.3
01-12 15:15,12.092,-4.6
01-12 15:45,12.102,-4.6
01-12 16:15,12.235,-5.3
01-12 16:45,12.485,-5.3
01-12 17:15,12.64,-5.3
01-12 17:45,12.715,-5.3
01-12 18:15,11.855,-3.9
01-12 18:45,11.603,-3.9
01-12 19:15,11.562,-4.8
01-12 19:45,11.756,-4.8
01-12 20:15,11.841,-4.5
01-12 20:45,11.827,-4.5
01-12 21:15,12.009,-6.1
01-12 21:45,12.379,-6.1
01-12 22:15,12.604,-3.4
01-12 22:45,12.102,-3.4
01-12 23:15,12.444,-3.1
01-12 23:45,12.346,-3.1
01-13 00:15,12.414,-3.3
01-13 00:45,12.419,-3.3
01-13 01:15,12.504,-4.5
01-13 01:45,12.734,-4.5
01-13 02:15,12.811,-4.1
01-13 02:45,12.724,-4.1
01-13 03:15,12.582,-3.2
01-13 03:45,12.424,-3.2
01-13 04:15,12.315,-2.8
01-13 04:45,12.238,-2.8
01-13 05:15,12.265,-3.8
01-13 05:45,12.4,-3.8
01-13 06:15,12.494,-4.1
01-13 06:45,12.541,-4.1
01-13 07:15,12.543,-3.8
01-13 07:45,12.499,-3.8
01-13 08:15,12.036,-4.1
01-13 08:45,12.003,-4.1
01-13 09:15,11.446,-3.6
01-13 09:45,11.399,-3.6
01-13 10:15,11.333,-3.3
01-13 10:45,11.202,-3.3
01-13 11:15,10.989,-3.3
01-13 11:45,10.788,-3.3
01-13 12:15,10.623,-3.6
01-13 12:45,10.552,-3.6
01-13 13:15,10.6,-4.1
01-13 13:45,10.914,-4.1
01-13 14:15,11.241,-3.6
01-13 14:45,11.363,-3.6
01-13 15:15,11.51,-3.9
01-13 15:45,11.724,-3.9
01-13 16:15,11.857,-3.6
01-13 16:45,11.896,-3.6
01-13 17:15,11.845,-2.4
01-13 17:45,11.715,-2.4
01-13 18:15,11.098,-3.6
01-13 18:45,11.272,-3.6
01-13 19:15,11.4,-4.1
01-13 19:45,11.487,-4.1
01-13 20:15,11.506,-3.6
01-13 20:45,11.469,-3.6
01-13 21:15,11.467,-3.6
01-13 21:45,11.494,-3.6
01-13 22:15,12.023,-3.5
01-13 22:45,11.924,-3.5
01-13 23:15,12.328,-2.0
01-13 23:45,12.08,-2.0
01-14 00:15,12.037,-1.9
01-14 00:45,11.989,-1.9
01-14 01:15,11.842,-0.4
01-14 01:45,11.592,-0.4
01-14 02:15,11.446,-0.4
01-14 02:45,11.407,-0.4
01-14 03:15,11.387,-0.6
01-14 03:45,11.386,-0.6
01-14 04:15,11.412,-1.1
01-14 04:45,11.464,-1.1
01-14 05:15,11.44,-0.5
01-14 05:45,11.336,-0.5
01-14 06:15,11.332,-1.3
01-14 06:45,11.429,-1.3
01-14 07:15,11.399,-0.3
01-14 07:45,11.238,-0.3
01-14 08:15,11.052,-0.6
01-14 08:45,11.01,-0.6
01-14 09:15,10.348,-0.3
01-14 09:45,10.297,-0.3
01-14 10:15,10.301,-0.6
01-14 10:45,10.34,-0.6
01-14 11:15,10.34,-0.1
01-14 11:45,10.295,-0.1
01-14 12:15,10.277,-0.1
01-14 12:45,10.289,-0.1
01-14 13:15,10.283,0.3
01-14 13:45,10.258,0.3
01-14 14:15,10.256,0.3
01-14 14:45,10.281,0.3
01-14 15:15,10.287,0.7
01-14 15:45,10.271,0.7
01-14 16:15,10.265,0.8
01-14 16:45,10.267,0.8
01-14 17:15,10.262,1.0
01-14 17:45,10.249,1.0
01-14 18:15,9.683,1.0
01-14 18:45,9.662,1.0
01-14 19:15,9.64,1.0
01-14 19:45,9.622,1.0
01-14 20:15,9.593,1.3
01-14 20:45,9.566,1.3
01-14 21:15,9.569,1.1
01-14 21:45,9.596,1.1
01-14 22:15,10.451,1.1
01-14 22:45,10.373,1.1
01-14 23:15,10.431,1.5
01-14 23:45,10.33,1.5
01-15 00:15,10.363,1.7
01-15 00:45,10.307,1.7
01-15 01:15,10.26,1.8
01-15 01:45,10.222,1.8
01-15 02:15,10.197,1.7
01-15 02:45,10.184,1.7
01-15 03:15,10.157,1.9
01-15 03:45,10.114,1.9
01-15 04:15,10.065,2.2
01-15 04:45,10.012,2.2
01-15 05:15,9.975,2.2
01-15 05:45,9.953,2.2
01-15 06:15,9.932,2.2
01-15 06:45,9.912,2.2
01-15 07:15,9.892,2.2
01-15 07:45,9.873,2.2
01-15 08:15,9.842,2.3
01-15 08:45,9.756,2.3
01-15 09:15,9.1,2.0
01-15 09:45,9.106,2.0
01-15 10:15,9.121,2.0
01-15 10:45,9.123,2.0
01-15 11:15,9.129,1.9
01-15 11:45,9.143,1.9
01-15 12:15,9.15,2.0
01-15 12:45,9.153,2.0
01-15 13:15,9.157,2.1
01-15 13:45,9.16,2.1
01-15 14:15,9.159,2.3
01-15 14:45,9.159,2.3
01-15 15:15,9.17,2.4
01-15 15:45,9.192,2.4
01-15 16:15,9.198,2.7
01-15 16:45,9.184,2.7
01-15 17:15,9.223,1.9
01-15 17:45,9.321,1.9
01-15 18:15,8.782,2.6
01-15 18:45,8.696,2.6
01-15 19:15,8.607,3.2
01-15 19:45,8.522,3.2
01-15 20:15,8.49,2.9
01-15 20:45,8.525,2.9
01-15 21:15,8.549,2.9
01-15 21:45,8.558,2.9
01-15 22:15,9.415,2.7
01-15 22:45,9.36,2.7
01-15 23:15,9.475,2.3
01-15 23:45,9.465,2.3
01-16 00:15,9.571,2.1
01-16 00:45,9.571,2.1
01-16 01:15,9.571,2.0
01-16 01:45,9.566,2.0
01-16 02:15,9.551,2.1
01-16 02:45,9.527,2.1
01-16 03:15,9.52,1.9
01-16 03:45,9.53,1.9
01-16 04:15,9.515,2.2
01-16 04:45,9.473,2.2
01-16 05:15,9.446,2.2
01-16 05:45,9.434,2.2
01-16 06:15,9.417,2.3
01-16 06:45,9.395,2.3
01-16 07:15,9.373,2.4
01-16 07:45,9.352,2.4
01-16 08:15,9.31,2.7
01-16 08:45,9.205,2.7
01-16 09:15,8.512,2.8
01-16 09:45,8.463,2.8
01-16 10:15,8.427,3.0
01-16 10:45,8.377,3.0
01-16 11:15,8.341,2.8
01-16 11:45,8.331,2.8
01-16 12:15,8.322,2.8
01-16 12:45,8.318,2.8
01-16 13:15,8.355,2.5
01-16 13:45,8.455,2.5
01-16 14:15,8.551,2.5
01-16 14:45,8.601,2.5
01-16 15:15,8.667,2.1
01-16 15:45,8.763,2.1
01-16 16:15,8.844,1.9
01-16 16:45,8.902,1.9
01-16 17:15,8.943,1.9
01-16 17:45,8.97,1.9
01-16 18:15,8.444,1.7
01-16 18:45,8.462,1.7
01-16 19:15,8.483,1.4
01-16 19:45,8.513,1.4
01-16 20:15,8.533,1.4
01-16 20:45,8.557,1.4
01-16 21:15,8.572,1.6
01-16 21:45,8.573,1.6
01-16 22:15,9.427,1.5
01-16 22:45,9.374,1.5
01-16 23:15,9.468,1.6
01-16 23:45,9.415,1.6
01-17 00:15,9.513,1.2
01-17 00:45,9.538,1.2
01-17 01:15,9.584,0.5
01-17 01:45,9.649,0.5
01-17 02:15,9.684,0.4
01-17 02:45,9.69,0.4
01-17 03:15,9.681,0.6
01-17 03:45,9.659,0.6
01-17 04:15,9.639,0.8
01-17 04:45,9.62,0.8
01-17 05:15,9.613,0.8
01-17 05:45,9.616,0.8
01-17 06:15,9.608,1.0
01-17 06:45,9.588,1.0
01-17 07:15,9.588,0.8
01-17 07:45,9.609,0.8
01-17 08:15,9.611,0.8
01-17 08:45,9.551,0.8
01-17 09:15,8.898,0.8
01-17 09:45,8.89,0.8
01-17 10:15,8.902,0.9
01-17 10:45,8.91,0.9
01-17 11:15,8.921,0.7
01-17 11:45,8.914,0.7
01-17 12:15,8.91,0.6
01-17 12:45,8.965,0.6
01-17 13:15,9.043,0.4
01-17 13:45,9.109,0.4
01-17 14:15,9.167,0.3
01-17 14:45,9.223,0.3
01-17 15:15,9.296,0.0
01-17 15:45,9.387,0.0
01-17 16:15,9.489,-0.6
01-17 16:45,9.601,-0.6
01-17 17:15,9.687,-0.8
01-17 17:45,9.746,-0.8
01-17 18:15,9.232,-0.9
01-17 18:45,9.248,-0.9
01-17 19:15,9.257,-0.9
01-17 19:45,9.262,-0.9
01-17 20:15,9.265,-0.8
01-17 20:45,9.282,-0.8
01-17 21:15,9.321,-1.0
01-17 21:45,9.375,-1.0
01-17 22:15,10.264,-1.1
01-17 22:45,10.226,-1.1
01-17 23:15,10.35,-1.3
01-17 23:45,10.341,-1.3
01-18 00:15,10.463,-1.6
01-18 00:45,10.49,-1.6
01-18 01:15,10.516,-1.8
01-18 01:45,10.541,-1.8
01-18 02:15,10.569,-2.0
01-18 02:45,10.598,-2.0
01-18 03:15,10.628,-2.2
01-18 03:45,10.659,-2.2
01-18 04:15,10.68,-2.2
01-18 04:45,10.69,-2.2
01-18 05:15,10.705,-2.3
01-18 05:45,10.725,-2.3
01-18 06:15,10.749,-2.5
01-18 06:45,10.792,-2.5
01-18 07:15,10.841,-2.6
01-18 07:45,10.879,-2.6
01-18 08:15,10.837,-2.6
01-18 08:45,10.787,-2.6
01-18 09:15,10.146,-2.7
01-18 09:45,10.148,-2.7
01-18 10:15,10.17,-2.7
01-18 10:45,10.196,-2.7
01-18 11:15,10.203,-2.3
01-18 11:45,10.19,-2.3
01-18 12:15,10.21,-2.5
01-18 12:45,10.268,-2.5
01-18 13:15,10.326,-2.6
01-18 13:45,10.38,-2.6
01-18 14:15,10.425,-2.5
01-18 14:45,10.462,-2.5
01-18 15:15,10.492,-2.2
01-18 15:45,10.537,-2.2
01-18 16:15,10.579,-2.0
