DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
07-23 04:45,4.688,0.0000,51.9,1.2229,0.000,8.00,4.688,102410,90.2,0.00664,0.0
07-23 05:15,4.688,0.0000,64.0,1.2229,0.000,8.00,4.688,102410,92.6,0.00678,-0.0
07-23 05:45,4.688,0.0000,64.0,1.2229,0.000,8.00,4.688,102410,92.6,0.00678,-0.0
07-23 06:15,4.688,0.0000,75.8,1.2229,0.000,8.00,4.688,102390,92.6,0.00687,-0.0
07-23 06:45,4.688,0.0000,75.8,1.2229,0.000,8.00,4.688,102390,92.6,0.00687,-0.0
07-23 07:15,4.688,0.0000,87.7,1.2229,0.000,8.00,4.688,102400,90.5,0.00704,-0.0
07-23 07:45,4.688,0.0000,87.7,1.2229,0.000,8.00,4.688,102400,90.5,0.00704,-0.0
07-23 08:15,4.688,0.0000,100.4,1.2229,0.000,8.00,4.688,102400,88.3,0.00710,-0.0
07-23 08:45,4.688,0.0000,100.4,1.2229,0.000,8.00,4.688,102400,88.3,0.00710,-0.0
07-23 09:15,4.688,0.0000,114.6,1.2229,0.000,8.00,4.688,102410,89.6,0.00746,-0.0
07-23 09:45,4.688,0.0000,114.6,1.2229,0.000,8.00,4.688,102410,89.6,0.00746,-0.0
07-23 10:15,4.688,0.0000,131.4,1.2229,0.000,7.00,4.688,102390,84.5,0.00751,-0.0
07-23 10:45,4.688,0.0000,131.4,1.2229,0.000,7.00,4.688,102390,84.5,0.00751,-0.0
07-23 11:15,4.688,0.0000,151.6,1.2229,0.000,7.00,4.688,102380,85.9,0.00800,-0.0
07-23 11:45,4.688,0.0000,151.6,1.2229,0.000,7.00,4.688,102380,85.9,0.00800,-0.0
07-23 12:15,4.688,0.0000,175.0,1.2229,0.000,5.99,4.688,102370,85.2,0.00837,-0.0
07-23 12:45,4.688,0.0000,175.0,1.2229,0.000,5.99,4.688,102370,85.2,0.00837,-0.0
07-23 13:15,4.688,0.0000,199.1,1.2229,0.000,5.99,4.688,102320,86.8,0.00929,-0.0
07-23 13:45,4.688,0.0000,199.1,1.2229,0.000,5.99,4.688,102320,86.8,0.00929,-0.0
07-23 14:15,4.688,0.0000,220.8,1.2229,0.000,5.00,4.688,102280,79.0,0.00937,-0.0
07-23 14:45,4.688,0.0000,220.8,1.2229,0.000,5.00,4.688,102280,79.0,0.00937,-0.0
07-23 15:15,4.688,0.0000,238.8,1.2229,0.000,3.00,4.688,102240,76.2,0.00898,-0.0
07-23 15:45,4.688,0.0000,238.8,1.2229,0.000,3.00,4.688,102240,76.2,0.00898,-0.0
07-23 16:15,4.688,0.0000,254.0,1.2229,0.000,6.00,4.688,102250,79.5,0.00806,-0.0
07-23 16:45,4.688,0.0000,254.0,1.2229,0.000,6.00,4.688,102250,79.5,0.00806,-0.0
07-23 17:15,4.688,0.0000,267.2,1.2229,0.000,7.00,4.688,102250,95.5,0.00834,-0.0
07-23 17:45,4.688,0.0000,267.2,1.2229,0.000,7.00,4.688,102250,95.5,0.00834,-0.0
07-23 18:15,4.688,0.0000,279.3,1.2229,0.000,6.99,4.688,102220,89.0,0.00814,-0.0
07-23 18:45,4.688,0.0000,279.3,1.2229,0.000,6.99,4.688,102220,89.0,0.00814,-0.0
07-23 19:15,4.688,0.0000,291.2,1.2229,0.000,7.00,4.688,102200,93.4,0.00861,-0.0
07-23 19:45,4.688,0.0000,291.2,1.2229,0.000,7.00,4.688,102200,93.4,0.00861,-0.0
07-23 20:15,4.688,0.0000,303.1,1.2229,0.000,7.00,4.688,102180,97.8,0.00890,-0.0
07-23 20:45,4.688,0.0000,303.1,1.2229,0.000,7.00,4.688,102180,97.8,0.00890,-0.0
07-23 21:15,4.688,0.0000,315.5,1.2229,0.000,7.00,4.688,102150,97.8,0.00878,-0.0
07-23 21:45,4.688,0.0000,315.5,1.2229,0.000,7.00,4.688,102150,97.8,0.00878,-0.0
07-23 22:15,4.688,0.0000,328.7,1.2229,0.000,6.99,4.688,102120,97.8,0.00909,0.0
07-23 22:45,4.688,0.0000,328.7,1.2229,0.000,6.99,4.688,102120,97.8,0.00909,0.0
07-23 23:15,4.688,0.0000,342.6,1.2229,0.000,4.99,4.688,102120,97.7,0.00867,0.0
07-23 23:45,4.688,0.0000,342.6,1.2229,0.000,4.99,4.688,102120,97.7,0.00867,0.0
07-24 00:15,4.688,0.0000,357.0,1.2229,0.000,2.00,4.688,102100,97.6,0.00788,0.0
07-24 00:45,4.688,0.0000,357.0,1.2229,0.000,2.00,4.688,102100,97.6,0.00788,0.0
07-24 01:15,4.688,0.0000,11.5,1.2229,0.000,4.00,4.688,102030,98.8,0.00799,0.0
07-24 01:45,4.688,0.0000,11.5,1.2229,0.000,4.00,4.688,102030,98.8,0.00799,0.0
07-24 02:15,4.688,0.0000,25.7,1.2229,0.000,6.99,4.688,102020,98.8,0.00832,0.0
07-24 02:45,4.688,0.0000,25.7,1.2229,0.000,6.99,4.688,102020,98.8,0.00832,0.0
07-24 03:15,4.688,0.0000,39.2,1.2229,0.000,8.00,4.688,102030,98.8,0.00843,0.0
07-24 03:45,4.688,0.0000,39.2,1.2229,0.000,8.00,4.688,102030,98.8,0.00843,0.0
07-24 04:15,4.688,0.0000,52.0,1.2229,0.000,8.00,4.688,102010,97.7,0.00868,0.0
07-24 04:45,4.688,0.0000,52.0,1.2229,0.000,8.00,4.688,102010,97.7,0.00868,0.0
07-24 05:15,4.688,0.0000,64.1,1.2229,0.000,8.00,4.688,102050,97.7,0.00850,-0.0
07-24 05:45,4.688,0.0000,64.1,1.2229,0.000,8.00,4.688,102050,97.7,0.00850,-0.0
07-24 06:15,4.688,0.0000,75.9,1.2229,0.000,7.99,4.688,102070,97.7,0.00805,-0.0
07-24 06:45,4.688,0.0000,75.9,1.2229,0.000,7.99,4.688,102070,97.7,0.00805,-0.0
07-24 07:15,4.688,0.0000,87.9,1.2229,0.000,7.99,4.688,102120,95.3,0.00759,-0.0
07-24 07:45,4.688,0.0000,87.9,1.2229,0.000,7.99,4.688,102120,95.3,0.00759,-0.0
07-24 08:15,4.688,0.0000,100.6,1.2229,0.000,7.99,4.688,102120,93.0,0.00771,-0.0
07-24 08:45,4.688,0.0000,100.6,1.2229,0.000,7.99,4.688,102120,93.0,0.00771,-0.0
07-24 09:15,4.688,0.0000,114.8,1.2229,0.000,8.00,4.688,102140,87.5,0.00744,-0.0
07-24 09:45,4.688,0.0000,114.8,1.2229,0.000,8.00,4.688,102140,87.5,0.00744,-0.0
07-24 10:15,4.688,0.0000,131.5,1.2229,0.000,8.00,4.688,102140,80.4,0.00725,-0.0
07-24 10:45,4.688,0.0000,131.5,1.2229,0.000,8.00,4.688,102140,80.4,0.00725,-0.0
07-24 11:15,4.688,0.0000,151.7,1.2229,0.000,7.00,4.688,102110,78.1,0.00763,-0.0
07-24 11:45,4.688,0.0000,151.7,1.2229,0.000,7.00,4.688,102110,78.1,0.00763,-0.0
07-24 12:15,4.688,0.0000,175.0,1.2229,0.000,7.00,4.688,102110,68.8,0.00653,-0.0
07-24 12:45,4.688,0.0000,175.0,1.2229,0.000,7.00,4.688,102110,68.8,0.00653,-0.0
07-24 13:15,4.688,0.0000,199.0,1.2229,0.000,7.00,4.688,102090,64.5,0.00600,-0.0
07-24 13:45,4.688,0.0000,199.0,1.2229,0.000,7.00,4.688,102090,64.5,0.00600,-0.0
07-24 14:15,4.688,0.0000,220.6,1.2229,0.000,7.00,4.688,102060,68.3,0.00671,-0.0
07-24 14:45,4.688,0.0000,220.6,1.2229,0.000,7.00,4.688,102060,68.3,0.00671,-0.0
07-24 15:15,4.688,0.0000,238.7,1.2229,0.000,6.99,4.688,102020,68.3,0.00671,-0.0
07-24 15:45,4.688,0.0000,238.7,1.2229,0.000,6.99,4.688,102020,68.3,0.00671,-0.0
07-24 16:15,4.688,0.0000,253.8,1.2229,0.000,3.00,4.688,101950,64.1,0.00690,-0.0
07-24 16:45,4.688,0.0000,253.8,1.2229,0.000,3.00,4.688,101950,64.1,0.00690,-0.0
07-24 17:15,4.688,0.0000,267.0,1.2229,0.000,5.00,4.688,101900,68.3,0.00672,-0.0
07-24 17:45,4.688,0.0000,267.0,1.2229,0.000,5.00,4.688,101900,68.3,0.00672,-0.0
07-24 18:15,4.688,0.0000,279.2,1.2229,0.000,6.00,4.688,101880,76.7,0.00721,-0.0
07-24 18:45,4.688,0.0000,279.2,1.2229,0.000,6.00,4.688,101880,76.7,0.00721,-0.0
07-24 19:15,4.688,0.0000,291.0,1.2229,0.000,7.00,4.688,101840,86.1,0.00822,-0.0
07-24 19:45,4.688,0.0000,291.0,1.2229,0.000,7.00,4.688,101840,86.1,0.00822,-0.0
07-24 20:15,4.688,0.0000,303.0,1.2229,0.000,7.00,4.688,101860,87.1,0.00826,-0.0
