DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
03-30 23:15,6.845,0.5624,356.8,1.2229,2.156,6.99,4.688,102320,84.3,0.00468,0.0
03-30 23:45,6.847,0.5631,356.8,1.2229,2.159,6.99,4.688,102320,84.3,0.00468,0.0
03-31 00:15,6.990,0.6005,14.2,1.2229,2.302,8.00,4.688,102250,88.3,0.00474,0.0
03-31 00:45,7.047,0.6153,14.2,1.2229,2.359,8.00,4.688,102250,88.3,0.00474,0.0
03-31 01:15,7.042,0.6139,30.7,1.2229,2.354,7.99,4.688,102170,87.2,0.00492,0.0
03-31 01:45,6.972,0.5958,30.7,1.2229,2.284,7.99,4.688,102170,87.2,0.00492,0.0
03-31 02:15,6.925,0.5835,46.1,1.2229,2.237,7.99,4.688,102070,88.7,0.00508,0.0
03-31 02:45,6.901,0.5772,46.1,1.2229,2.213,7.99,4.688,102070,88.7,0.00508,0.0
03-31 03:15,6.887,0.5736,60.1,1.2229,2.199,7.99,4.688,101970,88.7,0.00509,0.0
03-31 03:45,6.888,0.5737,60.1,1.2229,2.199,7.99,4.688,101970,88.7,0.00509,0.0
03-31 04:15,6.880,0.5716,73.1,1.2229,2.191,8.00,4.688,101930,87.5,0.00509,0.0
03-31 04:45,6.861,0.5666,73.1,1.2229,2.172,8.00,4.688,101930,87.5,0.00509,0.0
03-31 05:15,6.844,0.5624,85.5,1.2229,2.156,7.99,4.688,101870,88.9,0.00521,-0.0
03-31 05:45,6.829,0.5584,85.5,1.2229,2.141,7.99,4.688,101870,88.9,0.00521,-0.0
03-31 06:15,6.802,0.5514,97.9,1.2229,2.114,7.99,4.688,101820,86.3,0.00517,-0.0
03-31 06:45,6.766,0.5418,97.9,1.2229,2.077,7.99,4.688,101820,86.3,0.00517,-0.0
03-31 07:15,6.682,0.5200,110.8,1.2229,1.994,8.00,4.688,101780,85.6,0.00553,-0.0
03-31 07:45,6.545,0.4842,110.8,1.2229,1.856,8.00,4.688,101780,85.6,0.00553,-0.0
03-31 08:15,6.430,0.4544,124.8,1.2229,1.742,8.00,4.688,101710,85.8,0.00570,-0.0
03-31 08:45,6.306,0.4220,124.8,1.2229,1.618,8.00,4.688,101710,85.8,0.00570,-0.0
03-31 09:15,5.591,0.2354,140.4,1.2229,0.903,8.00,4.688,101640,83.5,0.00571,-0.0
03-31 09:45,5.505,0.2130,140.4,1.2229,0.816,8.00,4.688,101640,83.5,0.00571,-0.0
03-31 10:15,5.420,0.1907,157.8,1.2229,0.731,8.00,4.688,101630,81.5,0.00584,-0.0
03-31 10:45,5.319,0.1645,157.8,1.2229,0.631,8.00,4.688,101630,81.5,0.00584,-0.0
03-31 11:15,5.224,0.1398,176.6,1.2229,0.536,8.00,4.688,101600,80.7,0.00598,-0.0
03-31 11:45,5.132,0.1158,176.6,1.2229,0.444,8.00,4.688,101600,80.7,0.00598,-0.0
03-31 12:15,5.012,0.0845,195.6,1.2229,0.324,7.00,4.688,101540,79.0,0.00623,-0.0
03-31 12:45,4.864,0.0457,195.6,1.2229,0.175,7.00,4.688,101540,79.0,0.00623,-0.0
03-31 13:15,4.758,0.0180,213.6,1.2229,0.069,6.99,4.688,101520,80.3,0.00642,-0.0
03-31 13:45,4.715,0.0069,213.6,1.2229,0.026,6.99,4.688,101520,80.3,0.00642,-0.0
03-31 14:15,4.707,0.0050,229.8,1.2229,0.019,7.00,4.688,101490,81.4,0.00646,-0.0
03-31 14:45,4.741,0.0138,229.8,1.2229,0.053,7.00,4.688,101490,81.4,0.00646,-0.0
03-31 15:15,4.770,0.0213,244.3,1.2229,0.082,6.99,4.688,101470,81.5,0.00661,-0.0
03-31 15:45,4.785,0.0253,244.3,1.2229,0.097,6.99,4.688,101470,81.5,0.00661,-0.0
03-31 16:15,4.825,0.0357,257.6,1.2229,0.137,7.00,4.688,101460,82.7,0.00671,-0.0
03-31 16:45,4.901,0.0555,257.6,1.2229,0.213,7.00,4.688,101460,82.7,0.00671,-0.0
03-31 17:15,4.998,0.0807,270.1,1.2229,0.310,7.00,4.688,101510,84.8,0.00674,-0.0
03-31 17:45,5.096,0.1064,270.1,1.2229,0.408,7.00,4.688,101510,84.8,0.00674,-0.0
03-31 18:15,4.688,0.0000,282.4,1.2229,0.000,6.99,4.688,101520,90.2,0.00671,-0.0
03-31 18:45,4.753,0.0168,282.4,1.2229,0.064,6.99,4.688,101520,90.2,0.00671,-0.0
03-31 19:15,4.828,0.0364,295.2,1.2229,0.140,6.99,4.688,101520,91.4,0.00670,0.0
03-31 19:45,4.852,0.0427,295.2,1.2229,0.164,6.99,4.688,101520,91.4,0.00670,0.0
03-31 20:15,4.877,0.0491,308.8,1.2229,0.188,8.00,4.688,101500,91.3,0.00661,0.0
03-31 20:45,4.919,0.0602,308.8,1.2229,0.231,8.00,4.688,101500,91.3,0.00661,0.0
03-31 21:15,5.164,0.1240,323.6,1.2229,0.475,8.00,4.688,101610,97.1,0.00536,0.0
03-31 21:45,5.614,0.2413,323.6,1.2229,0.925,8.00,4.688,101610,97.1,0.00536,0.0
03-31 22:15,6.742,0.5357,339.8,1.2229,2.054,8.00,4.688,101650,97.0,0.00517,0.0
03-31 22:45,6.774,0.5440,339.8,1.2229,2.086,8.00,4.688,101650,97.0,0.00517,0.0
03-31 23:15,6.951,0.5903,356.9,1.2229,2.263,8.00,4.688,101640,97.0,0.00506,0.0
03-31 23:45,6.983,0.5985,356.9,1.2229,2.294,8.00,4.688,101640,97.0,0.00506,0.0
04-01 00:15,7.118,0.6338,14.2,1.2229,2.430,8.00,4.688,101600,98.5,0.00507,0.0
04-01 00:45,7.131,0.6371,14.2,1.2229,2.443,8.00,4.688,101600,98.5,0.00507,0.0
04-01 01:15,7.153,0.6428,14.2,1.2229,2.465,8.00,4.688,101600,98.5,0.00507,0.0
04-01 01:45,7.185,0.6512,14.2,1.2229,2.497,8.00,4.688,101600,98.5,0.00507,0.0
04-01 02:15,7.207,0.6569,30.7,1.2229,2.519,8.00,4.688,101530,98.5,0.00507,0.0
04-01 02:45,7.217,0.6596,30.7,1.2229,2.529,8.00,4.688,101530,98.5,0.00507,0.0
04-01 03:15,7.259,0.6705,46.0,1.2229,2.571,8.00,4.688,101480,96.9,0.00478,0.0
04-01 03:45,7.334,0.6900,46.0,1.2229,2.646,8.00,4.688,101480,96.9,0.00478,0.0
04-01 04:15,7.396,0.7062,59.9,1.2229,2.707,8.00,4.688,101410,93.7,0.00453,0.0
04-01 04:45,7.444,0.7187,59.9,1.2229,2.756,8.00,4.688,101410,93.7,0.00453,0.0
04-01 05:15,7.525,0.7399,72.9,1.2229,2.837,7.99,4.688,101320,96.7,0.00439,0.0
04-01 05:45,7.639,0.7697,72.9,1.2229,2.951,7.99,4.688,101320,96.7,0.00439,0.0
04-01 06:15,7.684,0.7813,85.3,1.2229,2.995,8.00,4.688,101230,95.2,0.00445,-0.0
04-01 06:45,7.652,0.7729,85.3,1.2229,2.963,8.00,4.688,101230,95.2,0.00445,-0.0
04-01 07:15,7.623,0.7656,97.7,1.2229,2.935,7.99,4.688,101170,95.2,0.00449,-0.0
04-01 07:45,7.598,0.7589,97.7,1.2229,2.910,7.99,4.688,101170,95.2,0.00449,-0.0
04-01 08:15,7.554,0.7474,110.7,1.2229,2.865,8.00,4.688,101060,96.8,0.00463,-0.0
04-01 08:45,7.452,0.7210,110.7,1.2229,2.764,8.00,4.688,101060,96.8,0.00463,-0.0
04-01 09:15,6.753,0.5385,124.7,1.2229,2.065,8.00,4.688,100980,95.3,0.00466,-0.0
04-01 09:45,6.686,0.5210,124.7,1.2229,1.998,8.00,4.688,100980,95.3,0.00466,-0.0
04-01 10:15,6.673,0.5177,140.3,1.2229,1.985,8.00,4.688,100900,95.3,0.00456,-0.0
04-01 10:45,6.699,0.5246,140.3,1.2229,2.011,8.00,4.688,100900,95.3,0.00456,-0.0
04-01 11:15,6.715,0.5287,157.8,1.2229,2.027,7.99,4.688,100820,95.3,0.00457,-0.0
04-01 11:45,6.717,0.5291,157.8,1.2229,2.028,7.99,4.688,100820,95.3,0.00457,-0.0
04-01 12:15,6.713,0.5281,176.7,1.2229,2.024,8.00,4.688,100740,95.3,0.00457,-0.0
04-01 12:45,6.696,0.5236,176.7,1.2229,2.007,8.00,4.688,100740,95.3,0.00457,-0.0
04-01 13:15,6.673,0.5176,195.8,1.2229,1.984,8.00,4.688,100630,96.8,0.00465,-0.0
04-01 13:45,6.652,0.5122,195.8,1.2229,1.964,8.00,4.688,100630,96.8,0.00465,-0.0
04-01 14:15,6.632,0.5069,213.8,1.2229,1.943,8.00,4.688,100510,93.7,0.00451,-0.0
04-01 14:45,6.616,0.5028,213.8,1.2229,1.928,8.00,4.688,100510,93.7,0.00451,-0.0
04-01 15:15,6.605,0.5000,230.1,1.2229,1.917,8.00,4.688,100430,95.2,0.00452,-0.0
04-01 15:45,6.589,0.4958,230.1,1.2229,1.901,8.00,4.688,100430,95.2,0.00452,-0.0
04-01 16:15,6.569,0.4907,244.6,1.2229,1.881,8.00,4.688,100360,93.6,0.00441,-0.0
04-01 16:45,6.566,0.4899,244.6,1.2229,1.878,8.00,4.688,100360,93.6,0.00441,-0.0
04-01 17:15,6.639,0.5087,257.9,1.2229,1.950,8.00,4.688,100300,93.6,0.00438,-0.0
04-01 17:45,6.861,0.5667,257.9,1.2229,2.173,8.00,4.688,100300,93.6,0.00438,-0.0
04-01 18:15,6.526,0.4793,270.4,1.2229,1.837,8.00,4.688,100240,93.6,0.00435,-0.0
04-01 18:45,6.616,0.5029,270.4,1.2229,1.928,8.00,4.688,100240,93.6,0.00435,-0.0
04-01 19:15,6.673,0.5177,282.7,1.2229,1.985,8.00,4.688,100200,95.2,0.00440,-0.0
04-01 19:45,6.735,0.5338,282.7,1.2229,2.047,8.00,4.688,100200,95.2,0.00440,-0.0
04-01 20:15,6.792,0.5487,295.5,1.2229,2.104,8.00,4.688,100150,96.7,0.00441,0.0
04-01 20:45,6.856,0.5653,295.5,1.2229,2.167,8.00,4.688,100150,96.7,0.00441,0.0
04-01 21:15,6.905,0.5782,309.0,1.2229,2.217,8.00,4.688,100100,96.7,0.00441,0.0
04-01 21:45,6.937,0.5866,309.0,1.2229,2.249,8.00,4.688,100100,96.7,0.00441,0.0
04-01 22:15,7.807,0.8133,323.8,1.2229,3.118,8.00,4.688,100040,96.7,0.00442,0.0
04-01 22:45,7.754,0.7997,323.8,1.2229,3.066,8.00,4.688,100040,96.7,0.00442,0.0
04-01 23:15,7.867,0.8290,339.9,1.2229,3.178,7.99,4.688,99970,96.7,0.00442,0.0
04-01 23:45,7.850,0.8248,339.9,1.2229,3.162,7.99,4.688,99970,96.7,0.00442,0.0
04-02 00:15,7.958,0.8529,357.0,1.2229,3.270,7.99,4.688,99870,96.7,0.00442,0.0
04-02 00:45,7.963,0.8542,357.0,1.2229,3.275,7.99,4.688,99870,96.7,0.00442,0.0
04-02 01:15,7.969,0.8558,14.2,1.2229,3.281,8.00,4.688,99790,96.8,0.00443,0.0
04-02 01:45,7.976,0.8575,14.2,1.2229,3.288,8.00,4.688,99790,96.8,0.00443,0.0
04-02 02:15,8.005,0.8651,30.7,1.2229,3.317,8.00,4.688,99700,95.0,0.00423,0.0
04-02 02:45,8.057,0.8786,30.7,1.2229,3.369,8.00,4.688,99700,95.0,0.00423,0.0
04-02 03:15,8.122,0.8956,45.9,1.2229,3.433,8.00,4.688,99640,96.6,0.00412,0.0
04-02 03:45,8.198,0.9155,45.9,1.2229,3.510,8.00,4.688,99640,96.6,0.00412,0.0
04-02 04:15,8.244,0.9273,59.8,1.2229,3.555,7.99,4.688,99570,96.6,0.00412,0.0
04-02 04:45,8.258,0.9312,59.8,1.2229,3.570,7.99,4.688,99570,96.6,0.00412,0.0
04-02 05:15,8.250,0.9291,72.8,1.2229,3.562,8.00,4.688,99500,96.7,0.00425,0.0
04-02 05:45,8.218,0.9206,72.8,1.2229,3.529,8.00,4.688,99500,96.7,0.00425,0.0
04-02 06:15,8.189,0.9131,85.2,1.2229,3.501,7.99,4.688,99470,95.1,0.00424,-0.0
04-02 06:45,8.159,0.9053,85.2,1.2229,3.471,7.99,4.688,99470,95.1,0.00424,-0.0
04-02 07:15,8.107,0.8916,97.6,1.2229,3.418,7.99,4.688,99470,95.1,0.00430,-0.0
04-02 07:45,8.030,0.8715,97.6,1.2229,3.341,7.99,4.688,99470,95.1,0.00430,-0.0
04-02 08:15,7.940,0.8482,110.5,1.2229,3.252,7.99,4.688,99420,95.1,0.00437,-0.0
04-02 08:45,7.801,0.8119,110.5,1.2229,3.113,7.99,4.688,99420,95.1,0.00437,-0.0
04-02 09:15,7.077,0.6232,124.6,1.2229,2.389,8.00,4.688,99430,95.2,0.00443,-0.0
04-02 09:45,7.007,0.6048,124.6,1.2229,2.319,8.00,4.688,99430,95.2,0.00443,-0.0
04-02 10:15,6.966,0.5941,140.2,1.2229,2.278,8.00,4.688,99430,95.2,0.00447,-0.0
04-02 10:45,6.923,0.5829,140.2,1.2229,2.235,8.00,4.688,99430,95.2,0.00447,-0.0
04-02 11:15,6.888,0.5739,157.8,1.2229,2.200,8.00,4.688,99450,95.2,0.00450,-0.0
04-02 11:45,6.874,0.5701,157.8,1.2229,2.186,8.00,4.688,99450,95.2,0.00450,-0.0
04-02 12:15,6.790,0.5482,176.7,1.2229,2.102,8.00,4.688,99440,93.9,0.00470,-0.0
04-02 12:45,6.554,0.4866,176.7,1.2229,1.865,8.00,4.688,99440,93.9,0.00470,-0.0
04-02 13:15,6.218,0.3989,195.9,1.2229,1.529,6.99,4.688,99420,92.4,0.00472,-0.0
04-02 13:45,5.792,0.2879,195.9,1.2229,1.104,6.99,4.688,99420,92.4,0.00472,-0.0
04-02 14:15,5.362,0.1757,214.1,1.2229,0.673,6.99,4.688,99470,93.9,0.00469,-0.0
04-02 14:45,5.049,0.0940,214.1,1.2229,0.360,6.99,4.688,99470,93.9,0.00469,-0.0
04-02 15:15,4.834,0.0381,230.4,1.2229,0.146,8.00,4.688,99460,92.4,0.00465,-0.0
04-02 15:45,4.808,0.0313,230.4,1.2229,0.120,8.00,4.688,99460,92.4,0.00465,-0.0
04-02 16:15,4.752,0.0167,244.9,1.2229,0.064,7.00,4.688,99490,89.7,0.00478,-0.0
04-02 16:45,4.688,0.0000,244.9,1.2229,0.000,7.00,4.688,99490,89.7,0.00478,-0.0
04-02 17:15,4.688,0.0000,258.1,1.2229,0.000,6.00,4.688,99530,91.0,0.00471,-0.0
04-02 17:45,4.688,0.0000,258.1,1.2229,0.000,6.00,4.688,99530,91.0,0.00471,-0.0
04-02 18:15,4.688,0.0000,270.7,1.2229,0.000,4.00,4.688,99610,95.3,0.00456,-0.0
04-02 18:45,4.688,0.0000,270.7,1.2229,0.000,4.00,4.688,99610,95.3,0.00456,-0.0
04-02 19:15,4.688,0.0000,283.0,1.2229,0.000,7.00,4.688,99730,96.8,0.00443,-0.0
04-02 19:45,4.688,0.0000,283.0,1.2229,0.000,7.00,4.688,99730,96.8,0.00443,-0.0
04-02 20:15,5.086,0.1037,295.7,1.2229,0.398,7.00,4.688,99830,93.8,0.00468,0.0
04-02 20:45,5.730,0.2717,295.7,1.2229,1.042,7.00,4.688,99830,93.8,0.00468,0.0
04-02 21:15,5.979,0.3367,309.3,1.2229,1.291,7.00,4.688,99910,93.9,0.00471,0.0
04-02 21:45,6.140,0.3787,309.3,1.2229,1.452,7.00,4.688,99910,93.9,0.00471,0.0
04-02 22:15,7.068,0.6208,324.1,1.2229,2.380,7.00,4.688,99990,93.9,0.00481,0.0
04-02 22:45,7.036,0.6125,324.1,1.2229,2.348,7.00,4.688,99990,93.9,0.00481,0.0
04-02 23:15,7.164,0.6457,340.1,1.2229,2.475,8.00,4.688,100040,95.5,0.00492,0.0
04-02 23:45,7.164,0.6456,340.1,1.2229,2.475,8.00,4.688,100040,95.5,0.00492,0.0
04-03 00:15,7.276,0.6751,357.1,1.2229,2.588,8.00,4.688,100080,94.0,0.00491,0.0
04-03 00:45,7.276,0.6749,357.1,1.2229,2.587,8.00,4.688,100080,94.0,0.00491,0.0
04-03 01:15,7.283,0.6767,14.3,1.2229,2.594,7.99,4.688,100120,94.0,0.00491,0.0
04-03 01:45,7.299,0.6810,14.3,1.2229,2.611,7.99,4.688,100120,94.0,0.00491,0.0
04-03 02:15,7.320,0.6864,30.6,1.2229,2.632,8.00,4.688,100140,95.5,0.00495,0.0
04-03 02:45,7.345,0.6931,30.6,1.2229,2.657,8.00,4.688,100140,95.5,0.00495,0.0
04-03 03:15,7.359,0.6966,45.8,1.2229,2.671,8.00,4.688,100130,97.0,0.00507,0.0
04-03 03:45,7.360,0.6968,45.8,1.2229,2.671,8.00,4.688,100130,97.0,0.00507,0.0
04-03 04:15,7.352,0.6949,59.7,1.2229,2.664,8.00,4.688,100130,97.0,0.00514,0.0
04-03 04:45,7.340,0.6915,59.7,1.2229,2.651,8.00,4.688,100130,97.0,0.00514,0.0
04-03 05:15,7.332,0.6894,72.6,1.2229,2.643,8.00,4.688,100150,97.0,0.00517,0.0
04-03 05:45,7.328,0.6886,72.6,1.2229,2.640,8.00,4.688,100150,97.0,0.00517,0.0
04-03 06:15,7.329,0.6887,85.0,1.2229,2.640,8.00,4.688,100160,97.0,0.00517,-0.0
04-03 06:45,7.332,0.6895,85.0,1.2229,2.644,8.00,4.688,100160,97.0,0.00517,-0.0
04-03 07:15,7.331,0.6893,97.4,1.2229,2.643,8.00,4.688,100210,97.0,0.00517,-0.0
04-03 07:45,7.323,0.6873,97.4,1.2229,2.635,8.00,4.688,100210,97.0,0.00517,-0.0
04-03 08:15,7.299,0.6810,110.4,1.2229,2.611,8.00,4.688,100260,92.6,0.00497,-0.0
04-03 08:45,7.220,0.6603,110.4,1.2229,2.531,8.00,4.688,100260,92.6,0.00497,-0.0
04-03 09:15,6.570,0.4909,124.4,1.2229,1.882,8.00,4.688,100300,92.6,0.00497,-0.0
04-03 09:45,6.601,0.4988,124.4,1.2229,1.912,8.00,4.688,100300,92.6,0.00497,-0.0
04-03 10:15,6.605,0.4999,140.2,1.2229,1.916,7.00,4.688,100300,91.3,0.00503,-0.0
04-03 10:45,6.497,0.4717,140.2,1.2229,1.808,7.00,4.688,100300,91.3,0.00503,-0.0
04-03 11:15,6.374,0.4396,157.8,1.2229,1.685,6.00,4.688,100280,90.2,0.00522,-0.0
04-03 11:45,6.305,0.4217,157.8,1.2229,1.617,6.00,4.688,100280,90.2,0.00522,-0.0
04-03 12:15,6.308,0.4224,176.8,1.2229,1.619,8.00,4.688,100300,92.7,0.00508,-0.0
04-03 12:45,6.391,0.4442,176.8,1.2229,1.703,8.00,4.688,100300,92.7,0.00508,-0.0
04-03 13:15,6.458,0.4616,196.1,1.2229,1.770,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 13:45,6.455,0.4608,196.1,1.2229,1.767,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 14:15,6.445,0.4581,214.3,1.2229,1.756,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 14:45,6.450,0.4596,214.3,1.2229,1.762,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 15:15,6.454,0.4604,230.6,1.2229,1.765,7.99,4.688,100320,92.7,0.00508,-0.0
04-03 15:45,6.434,0.4554,230.6,1.2229,1.746,7.99,4.688,100320,92.7,0.00508,-0.0
04-03 16:15,6.430,0.4542,245.2,1.2229,1.741,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 16:45,6.483,0.4680,245.2,1.2229,1.794,8.00,4.688,100340,92.7,0.00507,-0.0
04-03 17:15,6.549,0.4854,258.4,1.2229,1.861,8.00,4.688,100380,92.7,0.00507,-0.0
04-03 17:45,6.597,0.4979,258.4,1.2229,1.909,8.00,4.688,100380,92.7,0.00507,-0.0
04-03 18:15,6.081,0.3632,270.9,1.2229,1.392,7.99,4.688,100420,92.6,0.00496,-0.0
04-03 18:45,6.091,0.3659,270.9,1.2229,1.403,7.99,4.688,100420,92.6,0.00496,-0.0
04-03 19:15,6.130,0.3760,283.3,1.2229,1.442,8.00,4.688,100450,92.7,0.00500,-0.0
04-03 19:45,6.225,0.4009,283.3,1.2229,1.537,8.00,4.688,100450,92.7,0.00500,-0.0
04-03 20:15,6.278,0.4145,296.0,1.2229,1.589,8.00,4.688,100500,92.7,0.00507,0.0
04-03 20:45,6.305,0.4216,296.0,1.2229,1.616,8.00,4.688,100500,92.7,0.00507,0.0
04-03 21:15,6.324,0.4267,309.5,1.2229,1.636,7.99,4.688,100520,92.8,0.00510,0.0
04-03 21:45,6.338,0.4304,309.5,1.2229,1.650,7.99,4.688,100520,92.8,0.00510,0.0
04-03 22:15,7.193,0.6534,324.3,1.2229,2.505,8.00,4.688,100530,94.2,0.00518,0.0
04-03 22:45,7.131,0.6372,324.3,1.2229,2.443,8.00,4.688,100530,94.2,0.00518,0.0
04-03 23:15,7.241,0.6659,340.3,1.2229,2.553,8.00,4.688,100510,94.2,0.00515,0.0
04-03 23:45,7.230,0.6629,340.3,1.2229,2.541,8.00,4.688,100510,94.2,0.00515,0.0
04-04 00:15,7.339,0.6913,357.2,1.2229,2.650,8.00,4.688,100500,94.2,0.00515,0.0
04-04 00:45,7.339,0.6914,357.2,1.2229,2.651,8.00,4.688,100500,94.2,0.00515,0.0
04-04 01:15,7.340,0.6917,14.3,1.2229,2.652,8.00,4.688,100500,94.2,0.00515,0.0
04-04 01:45,7.343,0.6925,14.3,1.2229,2.655,8.00,4.688,100500,94.2,0.00515,0.0
04-04 02:15,7.342,0.6921,30.6,1.2229,2.653,8.00,4.688,100500,94.2,0.00518,0.0
04-04 02:45,7.334,0.6901,30.6,1.2229,2.646,8.00,4.688,100500,94.2,0.00518,0.0
04-04 03:15,7.331,0.6892,45.7,1.2229,2.642,8.00,4.688,100480,92.8,0.00510,0.0
04-04 03:45,7.332,0.6896,45.7,1.2229,2.644,8.00,4.688,100480,92.8,0.00510,0.0
04-04 04:15,7.334,0.6900,59.6,1.2229,2.645,8.00,4.688,100450,94.2,0.00519,0.0
04-04 04:45,7.335,0.6904,59.6,1.2229,2.647,8.00,4.688,100450,94.2,0.00519,0.0
04-04 05:15,7.337,0.6908,72.5,1.2229,2.649,8.00,4.688,100450,94.2,0.00519,0.0
04-04 05:45,7.339,0.6913,72.5,1.2229,2.650,8.00,4.688,100450,94.2,0.00519,0.0
04-04 06:15,7.332,0.6897,84.9,1.2229,2.644,8.00,4.688,100500,92.8,0.00514,-0.0
04-04 06:45,7.315,0.6851,84.9,1.2229,2.627,8.00,4.688,100500,92.8,0.00514,-0.0
04-04 07:15,7.290,0.6785,97.3,1.2229,2.601,7.99,4.688,100570,92.8,0.00518,-0.0
04-04 07:45,7.253,0.6690,97.3,1.2229,2.565,7.99,4.688,100570,92.8,0.00518,-0.0
04-04 08:15,7.208,0.6572,110.2,1.2229,2.519,8.00,4.688,100630,91.4,0.00513,-0.0
04-04 08:45,7.121,0.6344,110.2,1.2229,2.432,8.00,4.688,100630,91.4,0.00513,-0.0
04-04 09:15,6.462,0.4627,124.3,1.2229,1.774,7.99,4.688,100720,91.4,0.00513,-0.0
04-04 09:45,6.474,0.4658,124.3,1.2229,1.786,7.99,4.688,100720,91.4,0.00513,-0.0
04-04 10:15,6.523,0.4786,140.1,1.2229,1.835,7.99,4.688,100770,91.3,0.00505,-0.0
04-04 10:45,6.574,0.4919,140.1,1.2229,1.886,7.99,4.688,100770,91.3,0.00505,-0.0
04-04 11:15,6.613,0.5020,157.8,1.2229,1.925,8.00,4.688,100790,91.3,0.00505,-0.0
04-04 11:45,6.647,0.5109,157.8,1.2229,1.959,8.00,4.688,100790,91.3,0.00505,-0.0
04-04 12:15,6.683,0.5203,176.9,1.2229,1.995,8.00,4.688,100780,92.8,0.00513,-0.0
04-04 12:45,6.719,0.5298,176.9,1.2229,2.031,8.00,4.688,100780,92.8,0.00513,-0.0
04-04 13:15,6.759,0.5401,196.3,1.2229,2.071,7.99,4.688,100770,91.3,0.00501,-0.0
04-04 13:45,6.801,0.5510,196.3,1.2229,2.112,7.99,4.688,100770,91.3,0.00501,-0.0
04-04 14:15,6.846,0.5628,214.5,1.2229,2.158,8.00,4.688,100790,91.2,0.00494,-0.0
04-04 14:45,6.897,0.5760,214.5,1.2229,2.208,8.00,4.688,100790,91.2,0.00494,-0.0
04-04 15:15,6.938,0.5868,230.9,1.2229,2.250,8.00,4.688,100760,94.1,0.00506,-0.0
04-04 15:45,6.963,0.5934,230.9,1.2229,2.275,8.00,4.688,100760,94.1,0.00506,-0.0
04-04 16:15,6.979,0.5974,245.5,1.2229,2.290,8.00,4.688,100780,92.7,0.00498,-0.0
04-04 16:45,6.988,0.5999,245.5,1.2229,2.300,8.00,4.688,100780,92.7,0.00498,-0.0
04-04 17:15,6.999,0.6028,258.7,1.2229,2.311,8.00,4.688,100790,92.7,0.00498,-0.0
04-04 17:45,7.013,0.6065,258.7,1.2229,2.325,8.00,4.688,100790,92.7,0.00498,-0.0
04-04 18:15,6.466,0.4636,271.2,1.2229,1.778,8.00,4.688,100810,91.2,0.00490,-0.0
04-04 18:45,6.455,0.4607,271.2,1.2229,1.766,8.00,4.688,100810,91.2,0.00490,-0.0
04-04 19:15,6.456,0.4610,283.6,1.2229,1.767,8.00,4.688,100830,91.2,0.00486,-0.0
04-04 19:45,6.477,0.4665,283.6,1.2229,1.789,8.00,4.688,100830,91.2,0.00486,-0.0
04-04 20:15,6.493,0.4707,296.3,1.2229,1.805,7.99,4.688,100820,91.2,0.00486,0.0
04-04 20:45,6.516,0.4767,296.3,1.2229,1.828,7.99,4.688,100820,91.2,0.00486,0.0
04-04 21:15,6.540,0.4828,309.8,1.2229,1.851,8.00,4.688,100790,92.6,0.00494,0.0
04-04 21:45,6.558,0.4878,309.8,1.2229,1.870,8.00,4.688,100790,92.6,0.00494,0.0
04-04 22:15,7.410,0.7100,324.5,1.2229,2.722,7.99,4.688,100720,94.1,0.00506,0.0
04-04 22:45,7.335,0.6903,324.5,1.2229,2.647,7.99,4.688,100720,94.1,0.00506,0.0
04-04 23:15,7.420,0.7126,340.5,1.2229,2.732,7.99,4.688,100670,92.7,0.00506,0.0
04-04 23:45,7.373,0.7001,340.5,1.2229,2.684,7.99,4.688,100670,92.7,0.00506,0.0
04-05 00:15,7.455,0.7215,357.3,1.2229,2.766,7.99,4.688,100620,91.3,0.00502,0.0
04-05 00:45,7.438,0.7173,357.3,1.2229,2.750,7.99,4.688,100620,91.3,0.00502,0.0
04-05 01:15,7.429,0.7148,14.3,1.2229,2.741,8.00,4.688,100600,91.3,0.00502,0.0
04-05 01:45,7.426,0.7141,14.3,1.2229,2.738,8.00,4.688,100600,91.3,0.00502,0.0
04-05 02:15,7.429,0.7150,30.5,1.2229,2.741,8.00,4.688,100560,92.7,0.00506,0.0
04-05 02:45,7.439,0.7175,30.5,1.2229,2.751,8.00,4.688,100560,92.7,0.00506,0.0
04-05 03:15,7.444,0.7187,45.6,1.2229,2.755,8.00,4.688,100510,92.7,0.00507,0.0
04-05 03:45,7.444,0.7186,45.6,1.2229,2.755,8.00,4.688,100510,92.7,0.00507,0.0
04-05 04:15,7.448,0.7199,59.4,1.2229,2.760,8.00,4.688,100500,94.1,0.00511,0.0
04-05 04:45,7.459,0.7226,59.4,1.2229,2.770,8.00,4.688,100500,94.1,0.00511,0.0
04-05 05:15,7.464,0.7239,72.3,1.2229,2.775,8.00,4.688,100480,92.7,0.00503,0.0
