DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
01-02 03:15,4.60,7.870,7.734,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 03:45,4.60,7.846,7.710,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 04:15,4.30,7.849,7.713,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 04:45,4.30,7.880,7.745,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 05:15,4.40,7.892,7.757,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 05:45,4.40,7.883,7.748,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 06:15,4.20,7.889,7.753,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 06:45,4.20,7.910,7.775,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 07:15,3.80,7.943,7.808,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 07:45,3.80,7.988,7.853,0.135,0.000,0.000,2.912,2.912,0.5,0.5,0.5
01-02 08:15,3.60,8.017,7.882,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-02 08:45,3.60,7.987,7.852,0.135,0.000,0.000,4.932,4.932,0.5,0.5,0.5
01-02 09:15,4.40,7.306,7.171,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 09:45,4.40,7.209,7.074,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 10:15,4.40,7.172,7.037,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 10:45,4.40,7.180,7.045,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 11:15,4.90,7.144,7.009,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 11:45,4.90,7.024,6.889,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 12:15,3.90,6.994,6.858,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 12:45,3.90,7.153,7.017,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 13:15,4.00,7.254,7.118,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 13:45,4.00,7.185,7.050,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 14:15,4.00,7.153,7.017,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 14:45,4.00,7.267,7.131,0.135,0.000,0.000,4.132,4.132,0.4,0.4,0.4
01-02 15:15,3.30,7.424,7.289,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.4
01-02 15:45,3.30,7.586,7.451,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-02 16:15,3.50,7.676,7.541,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-02 16:45,3.50,7.713,7.578,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-02 17:15,3.50,7.749,7.614,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
01-02 17:45,3.50,7.787,7.652,0.135,0.000,0.000,4.132,4.132,0.5,0.5,0.5
