DateTime,Dry-bulb temperature (°C),Total system energy (kBtu/h),System natural gas (kBtu/h),System electricity (kBtu/h),Total lights energy (kBtu/h),Lights electricity (kBtu/h),Total equip energy (kBtu/h),Equip electricity (kBtu/h),Total CE ex equip (kgCO2/h),Total system CE (kgCO2/h),System nat. gas CE (kgCO2/h)
04-27 23:45,11.00,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-28 00:15,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 00:45,10.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 01:15,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 01:45,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 02:15,9.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 02:45,9.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 03:15,8.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 03:45,8.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 04:15,7.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 04:45,7.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 05:15,7.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 05:45,7.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 06:15,7.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 06:45,7.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 07:15,10.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 07:45,10.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-28 08:15,12.00,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-28 08:45,12.00,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-28 09:15,11.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 09:45,11.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 10:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 10:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 11:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 11:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 12:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 12:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 13:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 13:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 14:15,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 14:45,12.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 15:15,11.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 15:45,11.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 16:15,11.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 16:45,11.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 17:15,10.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 17:45,10.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-28 18:15,10.20,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-28 18:45,10.20,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-28 19:15,8.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-28 19:45,8.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-28 20:15,7.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-28 20:45,7.90,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-28 21:15,7.70,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-28 21:45,7.70,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-28 22:15,7.10,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-28 22:45,7.10,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-28 23:15,6.10,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-28 23:45,6.10,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-29 00:15,5.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 00:45,5.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 01:15,5.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 01:45,5.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 02:15,6.60,4.919,4.784,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 02:45,6.60,4.938,4.803,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 03:15,5.60,5.007,4.871,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 03:45,5.60,5.174,5.039,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 04:15,5.20,5.307,5.171,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 04:45,5.20,5.410,5.275,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 05:15,5.80,5.451,5.315,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 05:45,5.80,5.415,5.280,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 06:15,6.70,5.339,5.204,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 06:45,6.70,5.221,5.086,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 07:15,7.70,5.070,4.934,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 07:45,7.70,4.879,4.744,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-29 08:15,10.00,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-29 08:45,10.00,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-29 09:15,10.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 09:45,10.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 10:15,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 10:45,11.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 11:15,13.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 11:45,13.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 12:15,14.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 12:45,14.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 13:15,12.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 13:45,12.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 14:15,15.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 14:45,15.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 15:15,18.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 15:45,18.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 16:15,17.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 16:45,17.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 17:15,17.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 17:45,17.20,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-29 18:15,17.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-29 18:45,17.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-29 19:15,15.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-29 19:45,15.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-29 20:15,11.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-29 20:45,11.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-29 21:15,11.80,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-29 21:45,11.80,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-29 22:15,10.80,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-29 22:45,10.80,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-29 23:15,10.70,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-29 23:45,10.70,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-30 00:15,12.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 00:45,12.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 01:15,12.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 01:45,12.20,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 02:15,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 02:45,10.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 03:15,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 03:45,9.30,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 04:15,8.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 04:45,8.60,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 05:15,9.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 05:45,9.90,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 06:15,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 06:45,11.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 07:15,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 07:45,10.40,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
04-30 08:15,10.30,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-30 08:45,10.30,4.824,4.688,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
04-30 09:15,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 09:45,12.90,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 10:15,13.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 10:45,13.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 11:15,13.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 11:45,13.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 12:15,15.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 12:45,15.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 13:15,13.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 13:45,13.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 14:15,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 14:45,11.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 15:15,11.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 15:45,11.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 16:15,10.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 16:45,10.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 17:15,15.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 17:45,15.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
04-30 18:15,15.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-30 18:45,15.50,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-30 19:15,13.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-30 19:45,13.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
04-30 20:15,11.50,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-30 20:45,11.50,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-30 21:15,10.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-30 21:45,10.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
04-30 22:15,10.30,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-30 22:45,10.30,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
04-30 23:15,9.00,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
04-30 23:45,9.00,4.824,4.688,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
05-01 00:15,8.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 00:45,8.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 01:15,9.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 01:45,9.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 02:15,8.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 02:45,8.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 03:15,8.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 03:45,8.80,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 04:15,9.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 04:45,9.10,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 05:15,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 05:45,7.00,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 06:15,5.70,4.824,4.688,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 06:45,5.70,5.013,4.877,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 07:15,5.20,5.238,5.103,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 07:45,5.20,5.347,5.212,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-01 08:15,5.20,5.394,5.258,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
05-01 08:45,5.20,5.342,5.207,0.135,0.000,0.000,4.932,4.932,0.3,0.3,0.3
05-01 09:15,5.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 09:45,5.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 10:15,6.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 10:45,6.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 11:15,6.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 11:45,6.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 12:15,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 12:45,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 13:15,7.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 13:45,7.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 14:15,8.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 14:45,8.40,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 15:15,7.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 15:45,7.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 16:15,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 16:45,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 17:15,7.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 17:45,7.10,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-01 18:15,7.10,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-01 18:45,7.10,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-01 19:15,7.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-01 19:45,7.30,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-01 20:15,4.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-01 20:45,4.30,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-01 21:15,6.20,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-01 21:45,6.20,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-01 22:15,6.50,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
05-01 22:45,6.50,4.824,4.688,0.135,0.105,0.105,5.409,5.409,0.3,0.3,0.3
05-01 23:15,6.50,5.147,5.012,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
05-01 23:45,6.50,5.267,5.132,0.135,0.000,0.000,2.999,2.999,0.3,0.3,0.3
05-02 00:15,6.10,5.473,5.338,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-02 00:45,6.10,5.573,5.437,0.135,0.000,0.000,2.912,2.912,0.3,0.3,0.3
05-02 01:15,3.90,5.761,5.625,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.3
05-02 01:45,3.90,6.048,5.912,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 02:15,3.50,6.247,6.111,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 02:45,3.50,6.351,6.216,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 03:15,3.20,6.442,6.307,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 03:45,3.20,6.523,6.387,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 04:15,2.50,6.622,6.487,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 04:45,2.50,6.742,6.607,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 05:15,2.20,6.828,6.692,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 05:45,2.20,6.857,6.722,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 06:15,3.30,6.786,6.651,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 06:45,3.30,6.620,6.484,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 07:15,4.10,6.459,6.324,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 07:45,4.10,6.316,6.180,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-02 08:15,4.90,6.179,6.043,0.135,0.000,0.000,4.932,4.932,0.4,0.4,0.4
05-02 08:45,4.90,6.030,5.894,0.135,0.000,0.000,4.932,4.932,0.4,0.4,0.4
05-02 09:15,5.50,5.314,5.179,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 09:45,5.50,5.248,5.112,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 10:15,5.70,5.220,5.084,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 10:45,5.70,5.195,5.060,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 11:15,7.90,5.040,4.905,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 11:45,7.90,4.829,4.694,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 12:15,8.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 12:45,8.50,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 13:15,9.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 13:45,9.00,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 14:15,8.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 14:45,8.80,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 15:15,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 15:45,7.30,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 16:15,6.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 16:45,6.70,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 17:15,6.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 17:45,6.60,4.824,4.688,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-02 18:15,7.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-02 18:45,7.00,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-02 19:15,5.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-02 19:45,5.90,4.824,4.688,0.135,0.105,0.105,5.678,5.678,0.3,0.3,0.3
05-02 20:15,5.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-02 20:45,5.60,4.824,4.688,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-02 21:15,5.90,4.972,4.836,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-02 21:45,5.90,5.111,4.976,0.135,0.105,0.105,4.829,4.829,0.3,0.3,0.3
05-02 22:15,5.90,6.024,5.889,0.135,0.105,0.105,5.409,5.409,0.4,0.4,0.4
05-02 22:45,5.90,6.007,5.871,0.135,0.105,0.105,5.409,5.409,0.4,0.4,0.4
05-02 23:15,5.30,6.175,6.039,0.135,0.000,0.000,2.999,2.999,0.4,0.4,0.4
05-02 23:45,5.30,6.244,6.108,0.135,0.000,0.000,2.999,2.999,0.4,0.4,0.4
05-03 00:15,4.80,6.432,6.297,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 00:45,4.80,6.511,6.376,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 01:15,4.60,6.575,6.439,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 01:45,4.60,6.623,6.488,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 02:15,5.00,6.639,6.503,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 02:45,5.00,6.619,6.483,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 03:15,5.00,6.615,6.480,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 03:45,5.00,6.629,6.494,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 04:15,4.60,6.664,6.529,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 04:45,4.60,6.721,6.586,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 05:15,5.20,6.723,6.587,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 05:45,5.20,6.664,6.528,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 06:15,4.60,6.650,6.515,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 06:45,4.60,6.662,6.527,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 07:15,5.30,6.584,6.449,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 07:45,5.30,6.441,6.305,0.135,0.000,0.000,2.912,2.912,0.4,0.4,0.4
05-03 08:15,5.50,6.346,6.211,0.135,0.000,0.000,4.932,4.932,0.4,0.4,0.4
05-03 08:45,5.50,6.280,6.145,0.135,0.000,0.000,4.932,4.932,0.4,0.4,0.4
05-03 09:15,5.60,5.608,5.473,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 09:45,5.60,5.518,5.383,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 10:15,6.40,5.421,5.286,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 10:45,6.40,5.350,5.215,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 11:15,6.30,5.347,5.212,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 11:45,6.30,5.375,5.240,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
05-03 12:15,5.00,5.355,5.220,0.135,0.000,0.000,4.132,4.132,0.3,0.3,0.3
