DateTime,Aux vent heating load (kW),Max. adaptive temp. (°C),Wind speed (m/s),Wind direction[E of N] (deg.),Boilers load (kW),Direct radiation (W/m²),Ap Sys boilers load (kW),Boilers energy (kBtu/h),Diffuse radiation (W/m²),Global radiation (W/m²),Solar altitude (deg.)
05-27 10:45,0.0000,24.24,3.50,0.0,1.2973,21.269,1.2973,4.974,244.000,260.000,48.8
05-27 11:15,0.0000,24.24,4.00,350.0,1.2722,11.154,1.2722,4.877,289.000,298.000,53.8
05-27 11:45,0.0000,24.24,4.00,350.0,1.2541,11.154,1.2541,4.808,289.000,298.000,53.8
05-27 12:15,0.0000,24.24,5.00,10.0,1.2507,4.838,1.2507,4.795,288.000,292.000,55.8
05-27 12:45,0.0000,24.24,5.00,10.0,1.2672,4.838,1.2672,4.858,288.000,292.000,55.8
05-27 13:15,0.0000,24.24,5.50,20.0,1.2764,13.571,1.2764,4.894,263.000,274.000,54.2
05-27 13:45,0.0000,24.24,5.50,20.0,1.2763,13.571,1.2763,4.893,263.000,274.000,54.2
05-27 14:15,0.0000,24.24,4.50,10.0,1.2745,10.535,1.2745,4.886,213.000,221.000,49.4
05-27 14:45,0.0000,24.24,4.50,10.0,1.2721,10.535,1.2721,4.877,213.000,221.000,49.4
05-27 15:15,0.0000,24.24,4.50,10.0,1.2684,16.255,1.2684,4.863,238.000,249.000,42.6
05-27 15:45,0.0000,24.24,4.50,10.0,1.2572,16.255,1.2572,4.820,238.000,249.000,42.6
05-27 16:15,0.0000,24.24,4.50,10.0,1.2540,24.640,1.2540,4.808,190.000,204.000,34.6
05-27 16:45,0.0000,24.24,4.50,10.0,1.2666,24.640,1.2666,4.856,190.000,204.000,34.6
05-27 17:15,0.0000,24.24,4.00,10.0,1.2699,65.730,1.2699,4.869,211.000,240.000,26.2
05-27 17:45,0.0000,24.24,4.00,10.0,1.2525,65.730,1.2525,4.802,211.000,240.000,26.2
05-27 18:15,0.0000,24.24,3.50,0.0,1.2229,91.983,1.2229,4.688,152.000,180.000,17.7
05-27 18:45,0.0000,24.24,3.50,0.0,1.2229,91.983,1.2229,4.688,152.000,180.000,17.7
05-27 19:15,0.0000,24.24,3.00,0.0,1.2229,125.655,1.2229,4.688,76.000,97.000,9.6
05-27 19:45,0.0000,24.24,3.00,0.0,1.2229,125.655,1.2229,4.688,76.000,97.000,9.6
05-27 20:15,0.0000,24.24,2.50,340.0,1.2229,77.485,1.2229,4.688,50.000,53.000,2.2
05-27 20:45,0.0000,24.24,2.50,340.0,1.2229,77.485,1.2229,4.688,50.000,53.000,2.2
05-27 21:15,0.0000,24.24,2.50,320.0,1.2543,0.000,1.2543,4.809,0.000,0.000,0.0
05-27 21:45,0.0000,24.24,2.50,320.0,1.3772,0.000,1.3772,5.280,0.000,0.000,0.0
05-27 22:15,0.0000,24.24,2.50,310.0,1.6485,0.000,1.6485,6.320,0.000,0.000,0.0
05-27 22:45,0.0000,24.24,2.50,310.0,1.6227,0.000,1.6227,6.221,0.000,0.000,0.0
05-27 23:15,0.0000,24.24,2.50,290.0,1.6455,0.000,1.6455,6.309,0.000,0.000,0.0
05-27 23:45,0.0000,24.24,2.50,290.0,1.6462,0.000,1.6462,6.311,0.000,0.000,0.0
05-28 00:15,0.0000,24.23,2.50,300.0,1.6675,0.000,1.6675,6.393,0.000,0.000,0.0
05-28 00:45,0.0000,24.23,2.50,300.0,1.6503,0.000,1.6503,6.327,0.000,0.000,0.0
05-28 01:15,0.0000,24.23,2.00,320.0,1.6365,0.000,1.6365,6.274,0.000,0.000,0.0
05-28 01:45,0.0000,24.23,2.00,320.0,1.6263,0.000,1.6263,6.235,0.000,0.000,0.0
05-28 02:15,0.0000,24.23,1.50,320.0,1.6298,0.000,1.6298,6.248,0.000,0.000,0.0
05-28 02:45,0.0000,24.23,1.50,320.0,1.6468,0.000,1.6468,6.313,0.000,0.000,0.0
05-28 03:15,0.0000,24.23,2.00,310.0,1.6520,0.000,1.6520,6.334,0.000,0.000,0.0
05-28 03:45,0.0000,24.23,2.00,310.0,1.6458,0.000,1.6458,6.310,0.000,0.000,0.0
05-28 04:15,0.0000,24.23,2.50,300.0,1.6469,0.000,1.6469,6.314,13.000,13.000,1.6
05-28 04:45,0.0000,24.23,2.50,300.0,1.6540,0.000,1.6540,6.341,13.000,13.000,1.6
05-28 05:15,0.0000,24.23,2.00,310.0,1.6527,12.857,1.6527,6.336,39.000,41.000,8.9
05-28 05:45,0.0000,24.23,2.00,310.0,1.6417,12.857,1.6417,6.294,39.000,41.000,8.9
05-28 06:15,0.0000,24.23,2.50,290.0,1.6238,20.535,1.6238,6.225,71.000,77.000,17.0
05-28 06:45,0.0000,24.23,2.50,290.0,1.5998,20.535,1.5998,6.134,71.000,77.000,17.0
05-28 07:15,0.0000,24.23,2.00,320.0,1.5786,27.952,1.5786,6.052,82.000,94.000,25.4
05-28 07:45,0.0000,24.23,2.00,320.0,1.5620,27.952,1.5620,5.989,82.000,94.000,25.4
05-28 08:15,0.0000,24.23,2.00,310.0,1.5400,5.380,1.5400,5.904,141.000,144.000,33.9
05-28 08:45,0.0000,24.23,2.00,310.0,1.4985,5.380,1.4985,5.745,141.000,144.000,33.9
05-28 09:15,0.0000,24.23,1.50,330.0,1.2932,34.416,1.2932,4.958,163.000,186.000,41.9
05-28 09:45,0.0000,24.23,1.50,330.0,1.2497,34.416,1.2497,4.791,163.000,186.000,41.9
05-28 10:15,0.0000,24.23,2.00,50.0,1.2269,160.505,1.2269,4.704,199.000,320.000,48.9
05-28 10:45,0.0000,24.23,2.00,50.0,1.2229,160.505,1.2229,4.688,199.000,320.000,48.9
05-28 11:15,0.0000,24.23,2.00,90.0,1.2229,37.107,1.2229,4.688,405.000,435.000,53.9
05-28 11:45,0.0000,24.23,2.00,90.0,1.2229,37.107,1.2229,4.688,405.000,435.000,53.9
05-28 12:15,0.0000,24.23,1.50,110.0,1.2229,13.278,1.2229,4.688,262.000,273.000,55.9
05-28 12:45,0.0000,24.23,1.50,110.0,1.2229,13.278,1.2229,4.688,262.000,273.000,55.9
05-28 13:15,0.0000,24.23,2.50,120.0,1.2229,11.080,1.2229,4.688,232.000,241.000,54.3
05-28 13:45,0.0000,24.23,2.50,120.0,1.2229,11.080,1.2229,4.688,232.000,241.000,54.3
05-28 14:15,0.0000,24.23,3.50,160.0,1.2229,5.255,1.2229,4.688,164.000,168.000,49.6
05-28 14:45,0.0000,24.23,3.50,160.0,1.2229,5.255,1.2229,4.688,164.000,168.000,49.6
05-28 15:15,0.0000,24.23,3.50,180.0,1.2331,4.420,1.2331,4.728,103.000,106.000,42.7
05-28 15:45,0.0000,24.23,3.50,180.0,1.2530,4.420,1.2530,4.804,103.000,106.000,42.7
05-28 16:15,0.0000,24.23,4.50,160.0,1.2820,3.507,1.2820,4.915,84.000,86.000,34.8
05-28 16:45,0.0000,24.23,4.50,160.0,1.3313,3.507,1.3313,5.104,84.000,86.000,34.8
05-28 17:15,0.0000,24.23,4.00,160.0,1.3692,4.509,1.3692,5.249,83.000,85.000,26.3
05-28 17:45,0.0000,24.23,4.00,160.0,1.3944,4.509,1.3944,5.346,83.000,85.000,26.3
05-28 18:15,0.0000,24.23,4.00,160.0,1.2654,3.258,1.2654,4.851,41.000,42.000,17.9
05-28 18:45,0.0000,24.23,4.00,160.0,1.2738,3.258,1.2738,4.883,41.000,42.000,17.9
05-28 19:15,0.0000,24.23,4.00,160.0,1.2835,5.889,1.2835,4.921,49.000,50.000,9.8
05-28 19:45,0.0000,24.23,4.00,160.0,1.2907,5.889,1.2907,4.948,49.000,50.000,9.8
05-28 20:15,0.0000,24.23,4.50,160.0,1.2897,289.100,1.2897,4.945,19.000,31.000,2.4
05-28 20:45,0.0000,24.23,4.50,160.0,1.2984,289.100,1.2984,4.978,19.000,31.000,2.4
05-28 21:15,0.0000,24.23,4.50,120.0,1.3212,0.000,1.3212,5.065,0.000,0.000,0.0
05-28 21:45,0.0000,24.23,4.50,120.0,1.3430,0.000,1.3430,5.149,0.000,0.000,0.0
05-28 22:15,0.0000,24.23,2.50,150.0,1.5753,0.000,1.5753,6.039,0.000,0.000,0.0
05-28 22:45,0.0000,24.23,2.50,150.0,1.5573,0.000,1.5573,5.971,0.000,0.000,0.0
05-28 23:15,0.0000,24.23,1.50,250.0,1.5858,0.000,1.5858,6.080,0.000,0.000,0.0
05-28 23:45,0.0000,24.23,1.50,250.0,1.5857,0.000,1.5857,6.079,0.000,0.000,0.0
05-29 00:15,0.0000,24.26,1.00,80.0,1.6153,0.000,1.6153,6.193,0.000,0.000,0.0
05-29 00:45,0.0000,24.26,1.00,80.0,1.6153,0.000,1.6153,6.193,0.000,0.000,0.0
05-29 01:15,0.0000,24.26,1.00,130.0,1.6141,0.000,1.6141,6.188,0.000,0.000,0.0
05-29 01:45,0.0000,24.26,1.00,130.0,1.6117,0.000,1.6117,6.179,0.000,0.000,0.0
05-29 02:15,0.0000,24.26,1.50,170.0,1.6123,0.000,1.6123,6.181,0.000,0.000,0.0
05-29 02:45,0.0000,24.26,1.50,170.0,1.6159,0.000,1.6159,6.195,0.000,0.000,0.0
05-29 03:15,0.0000,24.26,1.50,190.0,1.6185,0.000,1.6185,6.205,0.000,0.000,0.0
05-29 03:45,0.0000,24.26,1.50,190.0,1.6196,0.000,1.6196,6.209,0.000,0.000,0.0
05-29 04:15,0.0000,24.26,1.00,180.0,1.6182,0.000,1.6182,6.204,15.000,15.000,1.8
05-29 04:45,0.0000,24.26,1.00,180.0,1.6127,0.000,1.6127,6.183,15.000,15.000,1.8
05-29 05:15,0.0000,24.26,1.00,160.0,1.6025,88.821,1.6025,6.144,55.000,69.000,9.1
05-29 05:45,0.0000,24.26,1.00,160.0,1.5857,88.821,1.5857,6.079,55.000,69.000,9.1
05-29 06:15,0.0000,24.26,1.00,150.0,1.5639,88.410,1.5639,5.996,115.000,141.000,17.1
05-29 06:45,0.0000,24.26,1.00,150.0,1.5371,88.410,1.5371,5.893,115.000,141.000,17.1
05-29 07:15,0.0000,24.26,1.00,150.0,1.5008,57.995,1.5008,5.754,216.000,241.000,25.5
05-29 07:45,0.0000,24.26,1.00,150.0,1.4533,57.995,1.4533,5.572,216.000,241.000,25.5
05-29 08:15,0.0000,24.26,1.50,190.0,1.4055,35.763,1.4055,5.388,180.000,200.000,34.0
05-29 08:45,0.0000,24.26,1.50,190.0,1.3621,35.763,1.3621,5.222,180.000,200.000,34.0
05-29 09:15,0.0000,24.26,1.50,160.0,1.2229,322.454,1.2229,4.688,255.000,471.000,42.1
05-29 09:45,0.0000,24.26,1.50,160.0,1.2229,322.454,1.2229,4.688,255.000,471.000,42.1
05-29 10:15,0.0000,24.26,3.00,140.0,1.2229,378.609,1.2229,4.688,313.000,599.000,49.1
05-29 10:45,0.0000,24.26,3.00,140.0,1.2229,378.609,1.2229,4.688,313.000,599.000,49.1
05-29 11:15,0.0000,24.26,3.50,120.0,1.2229,196.293,1.2229,4.688,457.000,616.000,54.1
05-29 11:45,0.0000,24.26,3.50,120.0,1.2229,196.293,1.2229,4.688,457.000,616.000,54.1
05-29 12:15,0.0000,24.26,4.00,130.0,1.2229,28.916,1.2229,4.688,305.000,329.000,56.1
05-29 12:45,0.0000,24.26,4.00,130.0,1.2229,28.916,1.2229,4.688,305.000,329.000,56.1
05-29 13:15,0.0000,24.26,5.50,140.0,1.2229,71.256,1.2229,4.688,426.000,484.000,54.5
05-29 13:45,0.0000,24.26,5.50,140.0,1.2229,71.256,1.2229,4.688,426.000,484.000,54.5
05-29 14:15,0.0000,24.26,6.50,150.0,1.2229,159.886,1.2229,4.688,410.000,532.000,49.7
05-29 14:45,0.0000,24.26,6.50,150.0,1.2229,159.886,1.2229,4.688,410.000,532.000,49.7
05-29 15:15,0.0000,24.26,6.50,160.0,1.2229,24.975,1.2229,4.688,206.000,223.000,42.9
05-29 15:45,0.0000,24.26,6.50,160.0,1.2229,24.975,1.2229,4.688,206.000,223.000,42.9
05-29 16:15,0.0000,24.26,5.00,160.0,1.2229,40.176,1.2229,4.688,229.000,252.000,34.9
05-29 16:45,0.0000,24.26,5.00,160.0,1.2229,40.176,1.2229,4.688,229.000,252.000,34.9
05-29 17:15,0.0000,24.26,4.00,160.0,1.2229,35.887,1.2229,4.688,174.000,190.000,26.5
05-29 17:45,0.0000,24.26,4.00,160.0,1.2229,35.887,1.2229,4.688,174.000,190.000,26.5
05-29 18:15,0.0000,24.26,3.50,160.0,1.2229,12.929,1.2229,4.688,78.000,82.000,18.0
05-29 18:45,0.0000,24.26,3.50,160.0,1.2229,12.929,1.2229,4.688,78.000,82.000,18.0
05-29 19:15,0.0000,24.26,3.50,150.0,1.2229,5.801,1.2229,4.688,19.000,20.000,9.9
05-29 19:45,0.0000,24.26,3.50,150.0,1.2229,5.801,1.2229,4.688,19.000,20.000,9.9
05-29 20:15,0.0000,24.26,2.50,150.0,1.2229,22.614,1.2229,4.688,6.000,7.000,2.5
05-29 20:45,0.0000,24.26,2.50,150.0,1.2229,22.614,1.2229,4.688,6.000,7.000,2.5
05-29 21:15,0.0000,24.26,3.00,160.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-29 21:45,0.0000,24.26,3.00,160.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-29 22:15,0.0000,24.26,3.50,160.0,1.3321,0.000,1.3321,5.107,0.000,0.000,0.0
05-29 22:45,0.0000,24.26,3.50,160.0,1.3820,0.000,1.3820,5.299,0.000,0.000,0.0
05-29 23:15,0.0000,24.26,4.50,180.0,1.4189,0.000,1.4189,5.440,0.000,0.000,0.0
05-29 23:45,0.0000,24.26,4.50,180.0,1.4157,0.000,1.4157,5.428,0.000,0.000,0.0
05-30 00:15,0.0000,24.35,4.50,170.0,1.4434,0.000,1.4434,5.534,0.000,0.000,0.0
05-30 00:45,0.0000,24.35,4.50,170.0,1.4437,0.000,1.4437,5.535,0.000,0.000,0.0
05-30 01:15,0.0000,24.35,3.50,160.0,1.4435,0.000,1.4435,5.534,0.000,0.000,0.0
05-30 01:45,0.0000,24.35,3.50,160.0,1.4428,0.000,1.4428,5.532,0.000,0.000,0.0
05-30 02:15,0.0000,24.35,2.50,160.0,1.4446,0.000,1.4446,5.538,0.000,0.000,0.0
05-30 02:45,0.0000,24.35,2.50,160.0,1.4490,0.000,1.4490,5.555,0.000,0.000,0.0
05-30 03:15,0.0000,24.35,2.50,160.0,1.4436,0.000,1.4436,5.535,0.000,0.000,0.0
05-30 03:45,0.0000,24.35,2.50,160.0,1.4281,0.000,1.4281,5.475,0.000,0.000,0.0
05-30 04:15,0.0000,24.35,1.50,190.0,1.3998,0.000,1.3998,5.367,29.000,29.000,1.9
05-30 04:45,0.0000,24.35,1.50,190.0,1.3561,0.000,1.3561,5.199,29.000,29.000,1.9
05-30 05:15,0.0000,24.35,3.50,210.0,1.3186,6.267,1.3186,5.055,31.000,32.000,9.2
05-30 05:45,0.0000,24.35,3.50,210.0,1.2919,6.267,1.2919,4.953,31.000,32.000,9.2
05-30 06:15,0.0000,24.35,2.50,190.0,1.2767,6.759,1.2767,4.895,57.000,59.000,17.2
05-30 06:45,0.0000,24.35,2.50,190.0,1.2702,6.759,1.2702,4.870,57.000,59.000,17.2
05-30 07:15,0.0000,24.35,3.00,190.0,1.2729,4.622,1.2729,4.880,81.000,83.000,25.6
05-30 07:45,0.0000,24.35,3.00,190.0,1.2863,4.622,1.2863,4.931,81.000,83.000,25.6
05-30 08:15,0.0000,24.35,3.50,170.0,1.2677,33.881,1.2677,4.860,184.000,203.000,34.1
05-30 08:45,0.0000,24.35,3.50,170.0,1.2233,33.881,1.2233,4.690,184.000,203.000,34.1
05-30 09:15,0.0000,24.35,4.00,140.0,1.2229,137.039,1.2229,4.688,357.000,449.000,42.2
05-30 09:45,0.0000,24.35,4.00,140.0,1.2229,137.039,1.2229,4.688,357.000,449.000,42.2
05-30 10:15,0.0000,24.35,5.00,210.0,1.2229,5.285,1.2229,4.688,147.000,151.000,49.2
05-30 10:45,0.0000,24.35,5.00,210.0,1.2229,5.285,1.2229,4.688,147.000,151.000,49.2
05-30 11:15,0.0000,24.35,8.60,220.0,1.2229,11.091,1.2229,4.688,241.000,250.000,54.2
05-30 11:45,0.0000,24.35,8.60,220.0,1.2229,11.091,1.2229,4.688,241.000,250.000,54.2
05-30 12:15,0.0000,24.35,9.60,230.0,1.2229,13.229,1.2229,4.688,263.000,274.000,56.3
05-30 12:45,0.0000,24.35,9.60,230.0,1.2229,13.229,1.2229,4.688,263.000,274.000,56.3
05-30 13:15,0.0000,24.35,9.60,250.0,1.2229,335.956,1.2229,4.688,141.000,415.000,54.6
05-30 13:45,0.0000,24.35,9.60,250.0,1.2229,335.956,1.2229,4.688,141.000,415.000,54.6
05-30 14:15,0.0000,24.35,8.10,270.0,1.2229,278.511,1.2229,4.688,241.000,454.000,49.9
05-30 14:45,0.0000,24.35,8.10,270.0,1.2229,278.511,1.2229,4.688,241.000,454.000,49.9
05-30 15:15,0.0000,24.35,7.10,270.0,1.2229,33.696,1.2229,4.688,189.000,212.000,43.0
05-30 15:45,0.0000,24.35,7.10,270.0,1.2229,33.696,1.2229,4.688,189.000,212.000,43.0
05-30 16:15,0.0000,24.35,6.50,260.0,1.2229,10.443,1.2229,4.688,169.000,175.000,35.1
05-30 16:45,0.0000,24.35,6.50,260.0,1.2229,10.443,1.2229,4.688,169.000,175.000,35.1
05-30 17:15,0.0000,24.35,6.00,260.0,1.2229,20.086,1.2229,4.688,156.000,165.000,26.6
05-30 17:45,0.0000,24.35,6.00,260.0,1.2229,20.086,1.2229,4.688,156.000,165.000,26.6
05-30 18:15,0.0000,24.35,6.50,250.0,1.2229,147.549,1.2229,4.688,91.000,137.000,18.2
05-30 18:45,0.0000,24.35,6.50,250.0,1.2229,147.549,1.2229,4.688,91.000,137.000,18.2
05-30 19:15,0.0000,24.35,5.50,250.0,1.2229,74.322,1.2229,4.688,64.000,77.000,10.1
05-30 19:45,0.0000,24.35,5.50,250.0,1.2229,74.322,1.2229,4.688,64.000,77.000,10.1
05-30 20:15,0.0000,24.35,5.50,250.0,1.2229,128.061,1.2229,4.688,21.000,27.000,2.7
05-30 20:45,0.0000,24.35,5.50,250.0,1.2229,128.061,1.2229,4.688,21.000,27.000,2.7
05-30 21:15,0.0000,24.35,4.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-30 21:45,0.0000,24.35,4.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-30 22:15,0.0000,24.35,4.00,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-30 22:45,0.0000,24.35,4.00,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-30 23:15,0.0000,24.35,4.00,250.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-30 23:45,0.0000,24.35,4.00,250.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 00:15,0.0000,24.68,3.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 00:45,0.0000,24.68,3.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 01:15,0.0000,24.68,3.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 01:45,0.0000,24.68,3.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 02:15,0.0000,24.68,2.50,230.0,1.2552,0.000,1.2552,4.812,0.000,0.000,0.0
05-31 02:45,0.0000,24.68,2.50,230.0,1.3334,0.000,1.3334,5.112,0.000,0.000,0.0
05-31 03:15,0.0000,24.68,1.50,190.0,1.3586,0.000,1.3586,5.209,0.000,0.000,0.0
05-31 03:45,0.0000,24.68,1.50,190.0,1.3433,0.000,1.3433,5.150,0.000,0.000,0.0
05-31 04:15,0.0000,24.68,3.00,220.0,1.3459,768.799,1.3459,5.160,23.000,50.000,2.0
05-31 04:45,0.0000,24.68,3.00,220.0,1.3681,768.799,1.3681,5.245,23.000,50.000,2.0
05-31 05:15,0.0000,24.68,1.50,240.0,1.3675,353.094,1.3675,5.243,59.000,116.000,9.3
05-31 05:45,0.0000,24.68,1.50,240.0,1.3420,353.094,1.3420,5.145,59.000,116.000,9.3
05-31 06:15,0.0000,24.68,1.50,220.0,1.2954,601.518,1.2954,4.966,54.000,233.000,17.3
05-31 06:45,0.0000,24.68,1.50,220.0,1.2354,601.518,1.2354,4.736,54.000,233.000,17.3
05-31 07:15,0.0000,24.68,3.00,240.0,1.2229,467.426,1.2229,4.688,145.000,348.000,25.7
05-31 07:45,0.0000,24.68,3.00,240.0,1.2229,467.426,1.2229,4.688,145.000,348.000,25.7
05-31 08:15,0.0000,24.68,3.50,250.0,1.2229,421.520,1.2229,4.688,277.000,514.000,34.2
05-31 08:45,0.0000,24.68,3.50,250.0,1.2229,421.520,1.2229,4.688,277.000,514.000,34.2
05-31 09:15,0.0000,24.68,5.00,260.0,1.2229,196.214,1.2229,4.688,488.000,620.000,42.3
05-31 09:45,0.0000,24.68,5.00,260.0,1.2229,196.214,1.2229,4.688,488.000,620.000,42.3
05-31 10:15,0.0000,24.68,6.00,260.0,1.2229,262.459,1.2229,4.688,329.000,528.000,49.3
05-31 10:45,0.0000,24.68,6.00,260.0,1.2229,262.459,1.2229,4.688,329.000,528.000,49.3
05-31 11:15,0.0000,24.68,5.50,260.0,1.2229,188.224,1.2229,4.688,330.000,483.000,54.4
05-31 11:45,0.0000,24.68,5.50,260.0,1.2229,188.224,1.2229,4.688,330.000,483.000,54.4
05-31 12:15,0.0000,24.68,6.00,260.0,1.2229,253.314,1.2229,4.688,356.000,567.000,56.4
05-31 12:45,0.0000,24.68,6.00,260.0,1.2229,253.314,1.2229,4.688,356.000,567.000,56.4
05-31 13:15,0.0000,24.68,6.50,250.0,1.2229,80.770,1.2229,4.688,381.000,447.000,54.8
05-31 13:45,0.0000,24.68,6.50,250.0,1.2229,80.770,1.2229,4.688,381.000,447.000,54.8
05-31 14:15,0.0000,24.68,7.10,250.0,1.2229,243.979,1.2229,4.688,407.000,594.000,50.0
05-31 14:45,0.0000,24.68,7.10,250.0,1.2229,243.979,1.2229,4.688,407.000,594.000,50.0
05-31 15:15,0.0000,24.68,7.60,240.0,1.2229,229.399,1.2229,4.688,299.000,456.000,43.2
05-31 15:45,0.0000,24.68,7.60,240.0,1.2229,229.399,1.2229,4.688,299.000,456.000,43.2
05-31 16:15,0.0000,24.68,9.10,260.0,1.2229,183.857,1.2229,4.688,229.000,335.000,35.2
05-31 16:45,0.0000,24.68,9.10,260.0,1.2229,183.857,1.2229,4.688,229.000,335.000,35.2
05-31 17:15,0.0000,24.68,8.60,250.0,1.2229,19.990,1.2229,4.688,159.000,168.000,26.8
05-31 17:45,0.0000,24.68,8.60,250.0,1.2229,19.990,1.2229,4.688,159.000,168.000,26.8
05-31 18:15,0.0000,24.68,5.50,250.0,1.2229,0.000,1.2229,4.688,124.000,124.000,18.3
05-31 18:45,0.0000,24.68,5.50,250.0,1.2229,0.000,1.2229,4.688,124.000,124.000,18.3
05-31 19:15,0.0000,24.68,4.50,240.0,1.2229,67.659,1.2229,4.688,62.000,74.000,10.2
05-31 19:45,0.0000,24.68,4.50,240.0,1.2229,67.659,1.2229,4.688,62.000,74.000,10.2
05-31 20:15,0.0000,24.68,5.00,240.0,1.2229,141.692,1.2229,4.688,42.000,49.000,2.8
05-31 20:45,0.0000,24.68,5.00,240.0,1.2229,141.692,1.2229,4.688,42.000,49.000,2.8
05-31 21:15,0.0000,24.68,4.50,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 21:45,0.0000,24.68,4.50,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 22:15,0.0000,24.68,4.50,230.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 22:45,0.0000,24.68,4.50,230.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 23:15,0.0000,24.68,4.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
05-31 23:45,0.0000,24.68,4.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 00:15,0.0000,24.95,4.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 00:45,0.0000,24.95,4.00,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 01:15,0.0000,24.95,3.50,230.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 01:45,0.0000,24.95,3.50,230.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 02:15,0.0000,24.95,4.50,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 02:45,0.0000,24.95,4.50,240.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 03:15,0.0000,24.95,3.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 03:45,0.0000,24.95,3.50,260.0,1.2229,0.000,1.2229,4.688,0.000,0.000,0.0
06-01 04:15,0.0000,24.95,3.00,240.0,1.2229,783.207,1.2229,4.688,24.000,53.000,2.1
06-01 04:45,0.0000,24.95,3.00,240.0,1.2229,783.207,1.2229,4.688,24.000,53.000,2.1
06-01 05:15,0.0000,24.95,3.00,230.0,1.2229,288.033,1.2229,4.688,58.000,105.000,9.4
06-01 05:45,0.0000,24.95,3.00,230.0,1.2229,288.033,1.2229,4.688,58.000,105.000,9.4
06-01 06:15,0.0000,24.95,5.00,250.0,1.2229,317.538,1.2229,4.688,123.000,218.000,17.4
06-01 06:45,0.0000,24.95,5.00,250.0,1.2229,317.538,1.2229,4.688,123.000,218.000,17.4
06-01 07:15,0.0000,24.95,3.00,270.0,1.2229,479.620,1.2229,4.688,271.000,480.000,25.8
06-01 07:45,0.0000,24.95,3.00,270.0,1.2229,479.620,1.2229,4.688,271.000,480.000,25.8
06-01 08:15,0.0000,24.95,5.50,280.0,1.2229,191.618,1.2229,4.688,323.000,431.000,34.3
06-01 08:45,0.0000,24.95,5.50,280.0,1.2229,191.618,1.2229,4.688,323.000,431.000,34.3
06-01 09:15,0.0000,24.95,6.50,280.0,1.2229,240.340,1.2229,4.688,228.000,390.000,42.4
06-01 09:45,0.0000,24.95,6.50,280.0,1.2229,240.340,1.2229,4.688,228.000,390.000,42.4
06-01 10:15,0.0000,24.95,6.00,300.0,1.2229,251.479,1.2229,4.688,197.000,388.000,49.4
06-01 10:45,0.0000,24.95,6.00,300.0,1.2229,251.479,1.2229,4.688,197.000,388.000,49.4
06-01 11:15,0.0000,24.95,6.00,290.0,1.2229,234.592,1.2229,4.688,349.000,540.000,54.5
06-01 11:45,0.0000,24.95,6.00,290.0,1.2229,234.592,1.2229,4.688,349.000,540.000,54.5
06-01 12:15,0.0000,24.95,5.50,320.0,1.2229,33.559,1.2229,4.688,387.000,415.000,56.5
06-01 12:45,0.0000,24.95,5.50,320.0,1.2229,33.559,1.2229,4.688,387.000,415.000,56.5
06-01 13:15,0.0000,24.95,3.50,300.0,1.2229,188.123,1.2229,4.688,382.000,536.000,54.9
06-01 13:45,0.0000,24.95,3.50,300.0,1.2229,188.123,1.2229,4.688,382.000,536.000,54.9
06-01 14:15,0.0000,24.95,3.00,310.0,1.2229,187.482,1.2229,4.688,358.000,502.000,50.2
06-01 14:45,0.0000,24.95,3.00,310.0,1.2229,187.482,1.2229,4.688,358.000,502.000,50.2
06-01 15:15,0.0000,24.95,4.00,300.0,1.2229,189.459,1.2229,4.688,314.000,444.000,43.3
06-01 15:45,0.0000,24.95,4.00,300.0,1.2229,189.459,1.2229,4.688,314.000,444.000,43.3
